date,Anhui,Beijing,Chongqing,Fujian,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Henan,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Ningxia,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Yunnan,Zhejiang,Suzhou,Shijiazhuang,Shenzhen,Xian,Haerbin,Wuhan,Anyang,Langfang,Quanzhou,Nanchang,Tangshan,Guangan,Qingdao
2019-01-01,66.77103480022096,10.7713,12.0556,18.980141748572237,21.25544696239298,18.545477135957068,22.332593759378586,4.79018,55.80243853622549,76.1989580129717,24.028608177408177,26.1043,92.96537918215614,87.81133152240017,21.219366792738278,17.4171,46.5069,33.3384,41.74160576244791,144.32919036299606,17.8368,75.1288,8.40574017456918,18.9208,4.83531,47.3627,25.430668477599838,10.970477208563535,6.549023022385309,12.017294237552084,5.629688446372239,11.13699182259182,5.1592419870283015,7.426205521098119,5.226658251427766,3.8943332072617247,21.02477873411286,0.25532946998926637,11.677809637003929
2019-01-02,65.69390929847174,10.5975,11.8611,18.67403572304872,20.912612173044618,18.24631188729875,21.972308995876574,4.7129,54.9022640439447,74.96968877653302,23.64097283437284,25.6832,91.46613113703371,86.39461950131766,20.87708487140696,17.1361,45.7567,32.8006,41.06826013005598,142.00059887579576,17.549,73.9169,8.270122287773397,18.6156,4.75731,46.5987,25.020380498682346,10.793507455801103,6.443392078360019,11.823439869944021,5.538885804416404,10.957327165627165,5.076011223466981,7.30641002541942,5.14236427695128,3.8315151285930407,20.685618474834772,0.25120999419802154,11.489401124204255
2019-01-03,63.68789977904622,10.2739,11.4989,18.103772115560883,20.273970564677,17.68921922898032,21.301359526121335,4.56899,53.225739595688665,72.68039140919811,22.91906777546778,24.8989,88.67244161005,83.75660401378472,20.239583736762484,16.6129,44.3595,31.799,39.814200477292815,137.66444142624948,17.0131,71.6597,8.017623692970329,18.0471,4.61204,45.1757,24.256395986215285,10.463911227900551,6.246619994307742,11.462399522707186,5.3697391955835965,10.622732224532225,4.921008590801886,7.083297641077783,4.985327884439117,3.7145162632375186,20.053951535332992,0.24354019581677352,11.138558573750508
2019-01-04,65.80501844964095,10.6154,11.8812,18.705555861947403,20.947949574478358,18.277240266547405,22.009482550470977,4.72087,54.99508849520261,75.09650253242926,23.680945807345807,25.7266,91.6205360851173,86.54117591729171,20.912403025718607,17.1651,45.8341,32.8561,41.13775325055769,142.24113673303535,17.5787,74.0419,8.284099618724495,18.647,4.76536,46.6775,25.062824082708293,10.811756273480661,6.454279897183603,11.843446749442316,5.5482549290220815,10.975854192654191,5.084597467570755,7.318763131672598,5.151044138052598,3.8379969742813915,20.720592099644126,0.25163456412636714,11.50886326696465
2019-01-05,65.76798206591789,10.6095,11.8745,18.695049148981173,20.93617044066711,18.266930806797852,21.997119024500968,4.71822,54.96414701144998,75.0542625,23.667621483021488,25.7121,91.56853441866427,86.49232377863369,20.90057397881997,17.1555,45.8083,32.8376,41.11461475903868,142.16064906542056,17.5688,74.0002,8.279490877167646,18.6366,4.76267,46.6512,25.048676221366307,10.805673334254143,6.450650624242408,11.83678524096132,5.545140260252366,10.969678516978517,5.081737499999999,7.3146454295882055,5.148150851018825,3.83582602118003,20.70893422470768,0.25149457079864235,11.502350934579441
2019-01-06,66.25079834284662,10.6873,11.9617,18.832263683987872,21.08983056970855,18.401049241502683,22.158591652270406,4.75285,55.36761692742896,75.60516243514151,23.841384338184337,25.9009,92.24135598000257,87.12740158118793,21.054013615733737,17.2814,46.1446,33.0787,41.416346900122065,143.20421330759854,17.6978,74.5435,8.340235601949713,18.7734,4.79763,46.9937,25.23259841881208,10.884993479281768,6.497994899076787,11.923653099877942,5.5858319006309145,11.05021566181566,5.11903756485849,7.3683393289273,5.1859363160121275,3.863986384266263,20.86095026436197,0.2533397287575063,11.586786692401462
2019-01-07,65.52052912907384,10.5695,11.8298,18.624716898752027,20.85739194799716,18.19820107513417,21.914308293507183,4.70046,54.75734304144419,74.77178813679245,23.578587664587666,25.6154,91.22452339443662,86.1666428542469,20.821910816944026,17.0909,45.6359,32.714,40.95986639126226,141.62591490586482,17.5027,73.7218,8.248287430233574,18.5664,4.74475,46.4757,24.95435714575309,10.765016719613259,6.426378155962766,11.79223360873774,5.524266955835961,10.928412335412334,5.062611863207547,7.287123894255211,5.128783101247973,3.8213891830559756,20.631016344687342,0.2505467471207682,11.459085094135176
2019-01-08,66.4860657337507,10.7253,12.0042,18.899145968765424,21.164756488537975,18.466342486583184,22.237253549046063,4.76973,55.564282873402156,75.87368166568397,23.92604504504505,25.9928,92.5685664658377,87.43679845935536,21.12879009077156,17.3428,46.3085,33.1961,41.56348596531841,143.71304339022078,17.7606,74.8082,8.369852432937984,18.84,4.81467,47.1606,25.322201540644638,10.923657009668506,6.52108034951476,11.966014034681594,5.6056753548895895,11.089454954954956,5.137218334316038,7.394511692933401,5.204354031234577,3.8777099092284413,20.93504842399593,0.2542393580110818,11.627956609779224
2019-01-09,66.75836950837784,10.7692,12.0533,18.97661337481492,21.25146154117865,18.54204064937388,22.328361948476097,4.78927,55.79189030312799,76.18453458726415,24.02403007623008,26.0993,92.94777861812588,87.79504747618083,21.215311119515885,17.4138,46.4981,33.3321,41.73368587608906,144.30143599485305,17.8334,75.1146,8.40415355862338,18.9172,4.83439,47.3537,25.425952523819177,10.968403479281767,6.547795072893927,12.01501412391094,5.6286334779179805,11.134869923769925,5.158265412735848,7.424801759023894,5.225686625185081,3.8935888804841143,21.020804458566346,0.25528127556496766,11.67556400514696
2019-01-10,68.07076240103112,10.9809,12.2903,19.349601685115985,21.669222249356444,18.9064991431127,22.767308608753765,4.88342,56.88867214008699,77.6821357370283,24.496326126126128,26.6124,94.77503717472119,89.52038094465843,21.632369515885024,17.7561,47.4122,33.9874,42.55417057367735,147.13885756467562,18.184,76.5913,8.569388276407436,19.2891,4.92943,48.2847,25.925619055341578,11.184025241712707,6.676511467357191,12.251229426322656,5.739279574132492,11.353773873873873,5.259664262971698,7.570761820030503,5.328398314884017,3.9701304841149767,21.4340407981698,0.26030038060978794,11.905142435324395
