date,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Xinjiang,Yunnan,Zhejiang
2019-01-01,69.59,10.7713,12.0556,24.2068,31.5168,47.9997,19.4279,26.9143,4.79018,95.2239,22.4127,81.3582,35.1656,26.1043,116.203,113.242,25.1137,17.4171,46.5069,33.3384,13.0088,53.7589,156.007,17.8368,75.1288,11.1256,18.9208,70.166,4.83531,47.3627
2019-01-02,68.4674,10.5975,11.8611,23.8164,31.0084,47.2255,19.1145,26.4801,4.7129,93.6878,22.0512,80.0457,34.5983,25.6832,114.329,111.415,24.7086,17.1361,45.7567,32.8006,12.7989,52.8917,153.49,17.549,73.9169,10.9461,18.6156,69.0342,4.75731,46.5987
2019-01-03,66.3767,10.2739,11.4989,23.0891,30.0615,45.7833,18.5309,25.6715,4.56899,90.8269,21.3778,77.6014,33.5418,24.8989,110.837,108.013,23.9541,16.6129,44.3595,31.799,12.4081,51.2766,148.803,17.0131,71.6597,10.6119,18.0471,66.9261,4.61204,45.1757
2019-01-04,68.5832,10.6154,11.8812,23.8566,31.0608,47.3053,19.1469,26.5249,4.72087,93.8462,22.0885,80.1811,34.6568,25.7266,114.522,111.604,24.7504,17.1651,45.8341,32.8561,12.8206,52.9812,153.75,17.5787,74.0419,10.9646,18.647,69.1509,4.76536,46.6775
2019-01-05,68.5446,10.6095,11.8745,23.8432,31.0434,47.2787,19.1361,26.51,4.71822,93.7934,22.0761,80.136,34.6373,25.7121,114.457,111.541,24.7364,17.1555,45.8083,32.8376,12.8134,52.9514,153.663,17.5688,74.0002,10.9585,18.6366,69.112,4.76267,46.6512
2019-01-06,69.0478,10.6873,11.9617,24.0182,31.2712,47.6257,19.2766,26.7046,4.75285,94.4819,22.2381,80.7242,34.8916,25.9009,115.298,112.36,24.918,17.2814,46.1446,33.0787,12.9074,53.34,154.791,17.6978,74.5435,11.0389,18.7734,69.6193,4.79763,46.9937
2019-01-07,68.2867,10.5695,11.8298,23.7535,30.9266,47.1008,19.0641,26.4102,4.70046,93.4405,21.993,79.8344,34.507,25.6154,114.027,111.121,24.6433,17.0909,45.6359,32.714,12.7651,52.7521,153.085,17.5027,73.7218,10.9172,18.5664,68.8519,4.74475,46.4757
2019-01-08,69.293,10.7253,12.0042,24.1035,31.3823,47.7949,19.345,26.7994,4.76973,94.8175,22.3171,81.0109,35.0155,25.9928,115.707,112.759,25.0065,17.3428,46.3085,33.1961,12.9533,53.5295,155.341,17.7606,74.8082,11.0781,18.84,69.8666,4.81467,47.1606
2019-01-09,69.5768,10.7692,12.0533,24.2023,31.5108,47.9907,19.4243,26.9092,4.78927,95.2059,22.4085,81.3428,35.1589,26.0993,116.181,113.221,25.1089,17.4138,46.4981,33.3321,13.0063,53.7487,155.977,17.8334,75.1146,11.1235,18.9172,70.1527,4.83439,47.3537
2019-01-10,70.9446,10.9809,12.2903,24.678,32.1303,48.9341,19.8061,27.4382,4.88342,97.0775,22.849,82.9418,35.8501,26.6124,118.465,115.446,25.6025,17.7561,47.4122,33.9874,13.262,54.8054,159.044,18.184,76.5913,11.3422,19.2891,71.5319,4.92943,48.2847
