,date,state,co2emission,treated,after_treatment,time_weights,unit_weights,weights
7542,2022-07-03,Zhejiang,4.091687869670866,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7543,2022-07-04,Zhejiang,4.105292909742402,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7544,2022-07-05,Zhejiang,4.141876951597361,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7545,2022-07-06,Zhejiang,4.153349205915582,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7546,2022-07-07,Zhejiang,4.16687620929466,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7547,2022-07-08,Zhejiang,4.18557537209362,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7548,2022-07-09,Zhejiang,4.210210353732532,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7549,2022-07-10,Zhejiang,4.2086446505643655,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7550,2022-07-11,Zhejiang,4.203762485457949,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7551,2022-07-12,Zhejiang,4.222824404724577,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7552,2022-07-13,Zhejiang,4.257071361780064,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7553,2022-07-14,Zhejiang,4.2651656581652775,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7554,2022-07-15,Zhejiang,4.276455124536064,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7555,2022-07-16,Zhejiang,4.276617645619017,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7556,2022-07-17,Zhejiang,4.266809507382216,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7557,2022-07-18,Zhejiang,4.257071361780064,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7558,2022-07-19,Zhejiang,4.272870173522406,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7559,2022-07-20,Zhejiang,4.2575669692215445,0,1,0.4984126984126984,0.050159843576240204,0.025000303
7560,2021-09-09,Guangzhou 1,2.4025560970146653,0,0,0.013885324813012334,0.03379232735512805,0.0004692174
7561,2021-09-10,Guangzhou 1,2.430336852104134,0,0,0.014330159412206922,0.03379232735512805,0.0004842494
7562,2021-09-11,Guangzhou 1,2.4320567650200604,0,0,0.01476968270166927,0.03379232735512805,0.000499102
7563,2021-09-12,Guangzhou 1,2.4033404040203576,0,0,0.01593522442709005,0.03379232735512805,0.0005384883
7564,2021-09-13,Guangzhou 1,2.3499710916882317,0,0,0.015132850868834952,0.03379232735512805,0.0005113743
7565,2021-09-14,Guangzhou 1,2.4015703411109857,0,0,0.0143990932743262,0.03379232735512805,0.0004865789
7566,2021-09-15,Guangzhou 1,2.3906624041602713,0,0,0.013362716791250487,0.03379232735512805,0.0004515573
7567,2021-09-16,Guangzhou 1,2.4031475986680397,0,0,0.014077591551983773,0.03379232735512805,0.0004757146
7568,2021-09-17,Guangzhou 1,2.3908641385027214,0,0,0.01679754265685572,0.03379232735512805,0.0005676281
7569,2021-09-18,Guangzhou 1,2.3966230512591427,0,0,0.015554641678385977,0.03379232735512805,0.0005256275
7570,2021-09-19,Guangzhou 1,2.3990035933499096,0,0,0.015508260790217802,0.03379232735512805,0.0005240602
7571,2021-09-20,Guangzhou 1,2.3830580005529747,0,0,0.01344038005902282,0.03379232735512805,0.0004541817
7572,2021-09-21,Guangzhou 1,2.2997322409128063,0,0,0.0187264552061168,0.03379232735512805,0.0006328105
7573,2021-09-22,Guangzhou 1,2.3118850368420056,0,0,0.014484273438758808,0.03379232735512805,0.0004894573
7574,2021-09-23,Guangzhou 1,2.3389072420253125,0,0,0.015450743658162437,0.03379232735512805,0.0005221166
7575,2021-09-24,Guangzhou 1,2.375799675225001,0,0,0.016453274284509867,0.03379232735512805,0.0005559944
7576,2021-09-25,Guangzhou 1,2.3635881626488975,0,0,0.015074242153287891,0.03379232735512805,0.0005093937
7577,2021-09-26,Guangzhou 1,2.347478921535026,0,0,0.01786698698887171,0.03379232735512805,0.0006037671
7578,2021-09-27,Guangzhou 1,2.354121756815339,0,0,0.016443991490780102,0.03379232735512805,0.0005556807
7579,2021-09-28,Guangzhou 1,2.3505958746917726,0,0,0.016290863503126245,0.03379232735512805,0.0005505062
7580,2021-09-29,Guangzhou 1,2.3568075177043495,0,0,0.013422714108272216,0.03379232735512805,0.0004535847
7581,2021-09-30,Guangzhou 1,2.3401689375270958,0,0,0.01623826380144271,0.03379232735512805,0.0005487287
7582,2021-10-01,Guangzhou 1,2.21183866908681,0,0,5.172625749635433e-05,0.03379232735512805,1.748e-06
7583,2021-10-02,Guangzhou 1,2.1955643105093827,0,0,5.2091490918375734e-05,0.03379232735512805,1.7603e-06
7584,2021-10-03,Guangzhou 1,2.1777073545366736,0,0,5.249649108109563e-05,0.03379232735512805,1.774e-06
7585,2021-10-04,Guangzhou 1,2.178808371843179,0,0,5.247137171874247e-05,0.03379232735512805,1.7731e-06
7586,2021-10-05,Guangzhou 1,2.203310042099089,0,0,5.1917131334824734e-05,0.03379232735512805,1.7544e-06
7587,2021-10-06,Guangzhou 1,2.215024450695465,0,0,5.16553346639954e-05,0.03379232735512805,1.7456e-06
7588,2021-10-07,Guangzhou 1,2.22952984358998,0,0,5.13336662016782e-05,0.03379232735512805,1.7347e-06
7589,2021-10-08,Guangzhou 1,2.214176936063458,0,0,5.1674149870065916e-05,0.03379232735512805,1.7462e-06
7590,2021-10-09,Guangzhou 1,2.1975067700696607,0,0,5.204769701426591e-05,0.03379232735512805,1.7588e-06
7591,2021-10-10,Guangzhou 1,2.175948687056501,0,0,5.2536825096743275e-05,0.03379232735512805,1.7753e-06
7592,2021-10-11,Guangzhou 1,2.178808371843179,0,0,5.247137171874247e-05,0.03379232735512805,1.7731e-06
7593,2021-10-12,Guangzhou 1,2.166434550771164,0,0,5.27547488261622e-05,0.03379232735512805,1.7827e-06
7594,2021-10-13,Guangzhou 1,2.179898536075836,0,0,5.244660846052144e-05,0.03379232735512805,1.7723e-06
7595,2021-10-14,Guangzhou 1,2.191887187244456,0,0,5.217439753152187e-05,0.03379232735512805,1.7631e-06
7596,2021-10-15,Guangzhou 1,2.203950335698344,0,0,5.1902825905183306e-05,0.03379232735512805,1.7539e-06
7597,2021-10-16,Guangzhou 1,2.1895041110186484,0,0,5.222831525488017e-05,0.03379232735512805,1.7649e-06
7598,2021-10-17,Guangzhou 1,2.174846130116876,0,0,5.256207226607728e-05,0.03379232735512805,1.7762e-06
7599,2021-10-18,Guangzhou 1,2.174846130116876,0,0,5.256207226607728e-05,0.03379232735512805,1.7762e-06
7600,2021-10-19,Guangzhou 1,2.1779215361964774,0,0,5.249151393360909e-05,0.03379232735512805,1.7738e-06
7601,2021-10-20,Guangzhou 1,2.2173460012064528,0,0,5.160366330813837e-05,0.03379232735512805,1.7438e-06
7602,2021-10-21,Guangzhou 1,2.2322313872814656,0,0,5.127415379670219e-05,0.03379232735512805,1.7327e-06
