date,state,avg_temperature
2001,Heilongjiang,3.06145354520895
2002,Heilongjiang,3.477707627598396
2003,Heilongjiang,3.8444131016314547
2004,Heilongjiang,3.7192779586063214
2005,Heilongjiang,3.000520222293342
2006,Heilongjiang,2.9746418213468413
2007,Heilongjiang,4.428551332781123
2008,Heilongjiang,4.263336934396865
2009,Heilongjiang,2.581979915964737
2010,Heilongjiang,2.6578035957437214
2011,Heilongjiang,3.230048227469246
2012,Heilongjiang,2.6523438322869692
2013,Heilongjiang,2.9102113059173176
2014,Heilongjiang,3.4748096360564165
2015,Heilongjiang,4.060955862017755
2016,Heilongjiang,3.0120058202822246
2017,Heilongjiang,3.7152728403355795
2018,Heilongjiang,3.6585290597785725
2019,Heilongjiang,4.288158404362556
2020,Heilongjiang,4.136516795495714
2021,Heilongjiang,3.9912549377904494
2022,Heilongjiang,0.6089325766575228
2001,Hainan,25.194489439965036
2002,Hainan,25.36694766236991
2003,Hainan,25.50232329422094
2004,Hainan,24.949602573308777
2005,Hainan,25.200691229147576
2006,Hainan,25.56902947837134
2007,Hainan,25.216534457390836
2008,Hainan,24.54633464923805
2009,Hainan,24.687848456907034
2010,Hainan,25.076832204274957
2011,Hainan,23.77082232358381
2012,Hainan,24.7890513005684
2013,Hainan,24.556889009783855
2014,Hainan,24.8126304604446
2015,Hainan,25.436228686326462
2016,Hainan,24.94417137335132
2017,Hainan,25.024695010071827
2018,Hainan,24.750061900759732
2019,Hainan,25.838980668904423
2020,Hainan,25.415587308083246
2021,Hainan,25.183293712890407
2022,Hainan,24.03427862159799
2001,Fujian,19.51054511263066
2002,Fujian,19.916244419823983
2003,Fujian,19.861848893734994
2004,Fujian,19.475746068698278
2005,Fujian,19.369762607098316
2006,Fujian,19.766467296074
2007,Fujian,19.81939942321965
2008,Fujian,19.390845374074026
2009,Fujian,19.72559631823403
2010,Fujian,19.3114011746085
2011,Fujian,19.061905749782937
2012,Fujian,19.26322285940637
2013,Fujian,19.57127206776892
2014,Fujian,19.68330355406797
2015,Fujian,19.849432486812912
2016,Fujian,19.993029491852027
2017,Fujian,20.166915220056364
2018,Fujian,20.056243400869437
2019,Fujian,20.219245136719806
2020,Fujian,20.369639421192282
2021,Fujian,20.518660399507468
2022,Fujian,17.27466647064186
2001,Henan,14.79430234870571
2002,Henan,15.111076336175838
2003,Henan,14.04668131840763
2004,Henan,15.008620136468052
2005,Henan,14.462656107418727
2006,Henan,15.203628185707029
2007,Henan,15.181580328150789
2008,Henan,14.635944168758332
2009,Henan,14.683512893130269
2010,Henan,14.681925649681423
2011,Henan,14.37236970283872
2012,Henan,14.615340229022605
2013,Henan,15.33921357675102
2014,Henan,15.22997150748724
2015,Henan,14.966296774821037
2016,Henan,15.456858220178097
2017,Henan,15.608536365567277
2018,Henan,15.485069611784477
2019,Henan,15.70455026711145
2020,Henan,15.573111288770974
2021,Henan,15.85858713182598
2022,Henan,13.983461258582494
2001,Shanghai,17.063472681102834
2002,Shanghai,17.357925671224045
2003,Shanghai,16.952579077364636
2004,Shanghai,17.380096159135586
2005,Shanghai,16.852980961618275
2006,Shanghai,17.614240876653025
2007,Shanghai,17.847335529549124
2008,Shanghai,16.91880375396126
2009,Shanghai,17.232168715553758
2010,Shanghai,16.945366018780508
2011,Shanghai,16.70359704177837
2012,Shanghai,16.701122563625425
2013,Shanghai,17.41813247295143
2014,Shanghai,16.991257763448797
2015,Shanghai,17.060216878598162
2016,Shanghai,17.711623389166636
2017,Shanghai,17.8395429309833
2018,Shanghai,17.791380266716192
2019,Shanghai,17.552513154560472
2020,Shanghai,17.927364521803373
2021,Shanghai,18.14454062421515
2022,Shanghai,14.791196651250043
2001,Jiangxi,17.86398170938431
2002,Jiangxi,18.146770616538983
2003,Jiangxi,18.25714413083403
2004,Jiangxi,18.20380801997222
2005,Jiangxi,17.876965940186693
2006,Jiangxi,18.225727596588527
2007,Jiangxi,18.51523971752505
2008,Jiangxi,18.02256159009906
2009,Jiangxi,18.35374127247215
2010,Jiangxi,17.989681341825747
2011,Jiangxi,17.762194637946696
2012,Jiangxi,17.5477519490089
2013,Jiangxi,18.57290290718455
2014,Jiangxi,18.30677000597836
2015,Jiangxi,18.239860027722084
2016,Jiangxi,18.549415352937004
2017,Jiangxi,18.58911422788326
2018,Jiangxi,18.514443233928407
2019,Jiangxi,18.58535978005184
2020,Jiangxi,18.702203706084482
2021,Jiangxi,19.15699195976097
2022,Jiangxi,15.710196514003599
2001,Guangdong,22.501562408150907
2002,Guangdong,22.78914963138903
2003,Guangdong,22.719590789728354
2004,Guangdong,22.470794250959266
2005,Guangdong,22.29519879107017
2006,Guangdong,22.722994073911657
2007,Guangdong,22.74410948299434
2008,Guangdong,22.03570143254944
2009,Guangdong,22.633468834154865
2010,Guangdong,22.291757567738966
2011,Guangdong,21.917386548416477
2012,Guangdong,22.242533302221233
