depen_var,factor,corr,sig
resi_all_abs,duration,0.023095522,0.867079631
resi_all_abs,num_positive,-0.402518219,0.002314502
resi_all_abs,season,-0.562239969,7.93E-06
resi_all_abs,gdp,0.41703828,0.001892728
resi_all_abs,gdp-2,0.416312049,0.001931241
resi_all_abs,gdp-3,0.393435765,0.00356263
resi_all_abs,pop,0.249319214,0.071807231
resi_all_abs,gdp_pop,0.208448534,0.134172115
resi_all_abs,pop_density,0.220350657,0.112856967
resi_all_abs,num_scale_comp,0.442940527,0.000895652
resi_all_abs,cement_prod,0.132578784,0.343965334
resi_all_abs,steel_prod,0.409530252,0.002325988
resi_all_abs,metal_value,0.356882127,0.008711115
resi_all_abs,paper_value,0.472191507,0.000357365
resi_all_abs,fuel_value,0.376369332,0.005476034
resi_all_abs,chemi_value,0.340733819,0.012537795
resi_all_abs,energy_consump,0.403280233,0.002751621
resi_all_abs,electri_consump_indus,0.246217528,0.075532085
resi_all_abs,power_resi_all_abs,0.572083123,5.05E-06
resi_all_abs,power_resi_in_abs,0.618042408,4.97E-07
resi_all_abs,power_resi_after_abs,0.37794253,0.004443039
resi_all_abs,power_extreme,0.359398958,0.007042183
resi_in_abs,duration,-0.077042439,0.576113597
resi_in_abs,num_positive,-0.41361521,0.001696087
resi_in_abs,season,-0.327614065,0.014620554
resi_in_abs,gdp,0.291676822,0.03408001
resi_in_abs,gdp-2,0.299866931,0.029147802
resi_in_abs,gdp-3,0.249717641,0.071339526
resi_in_abs,pop,0.13985721,0.317883324
resi_in_abs,gdp_pop,0.165839626,0.235314101
resi_in_abs,pop_density,0.18722267,0.17946458
resi_in_abs,num_scale_comp,0.37369895,0.005845333
resi_in_abs,cement_prod,0.086817076,0.536485952
resi_in_abs,steel_prod,0.332681145,0.014934019
resi_in_abs,metal_value,0.28046081,0.041939164
resi_in_abs,paper_value,0.354857664,0.009127146
resi_in_abs,fuel_value,0.414205697,0.002046921
resi_in_abs,chemi_value,0.302725615,0.027573136
resi_in_abs,energy_consump,0.387133957,0.004186401
resi_in_abs,electri_consump_indus,0.189485835,0.1741683
resi_in_abs,power_resi_all_abs,0.487102709,0.000162346
resi_in_abs,power_resi_in_abs,0.558680798,9.30E-06
resi_in_abs,power_resi_after_abs,0.295856707,0.02830096
resi_in_abs,power_extreme,0.353649958,0.008080448
resi_after_abs,duration,-0.032927974,0.811372288
resi_after_abs,num_positive,-0.140589487,0.305935824
resi_after_abs,season,-0.276239752,0.041200589
resi_after_abs,gdp,0.283648094,0.039567803
resi_after_abs,gdp-2,0.215101317,0.121914149
resi_after_abs,gdp-3,0.325203821,0.017499208
resi_after_abs,pop,0.079581234,0.571091466
resi_after_abs,gdp_pop,0.324638985,0.017707349
resi_after_abs,pop_density,0.248830043,0.072384786
resi_after_abs,num_scale_comp,0.226680437,0.102630506
resi_after_abs,cement_prod,-0.064139318,0.648190612
resi_after_abs,steel_prod,0.200060573,0.150917153
resi_after_abs,metal_value,0.113108233,0.420013499
resi_after_abs,paper_value,0.309146365,0.024294356
resi_after_abs,fuel_value,0.274893149,0.046360903
resi_after_abs,chemi_value,0.279308796,0.042824469
resi_after_abs,energy_consump,0.184963329,0.184866806
resi_after_abs,electri_consump_indus,-0.009541872,0.94593613
resi_after_abs,power_resi_all_abs,0.341354306,0.010756273
resi_after_abs,power_resi_in_abs,0.261064107,0.054208827
resi_after_abs,power_resi_after_abs,0.409711575,0.001894357
resi_after_abs,power_extreme,0.206100399,0.13113699
extreme,duration,-0.007758372,0.955169044
extreme,num_positive,-0.325228183,0.015400365
extreme,season,-0.594337978,1.72E-06
extreme,gdp,0.298838124,0.029732571
extreme,gdp-2,0.306826506,0.025438988
extreme,gdp-3,0.261195898,0.058874204
extreme,pop,0.157508308,0.260003371
extreme,gdp_pop,0.172920238,0.215637172
extreme,pop_density,0.14730093,0.292546866
extreme,num_scale_comp,0.273581925,0.047455812
extreme,cement_prod,0.129004969,0.357243388
extreme,steel_prod,0.277466283,0.044272231
extreme,metal_value,0.248002963,0.073369693
extreme,paper_value,0.366174539,0.007005494
extreme,fuel_value,0.294642206,0.032219819
extreme,chemi_value,0.349865221,0.010227358
extreme,energy_consump,0.290769051,0.034666948
extreme,electri_consump_indus,0.126364236,0.367253032
extreme,power_resi_all_abs,0.543021033,1.84E-05
extreme,power_resi_in_abs,0.550381594,1.34E-05
extreme,power_resi_after_abs,0.402352135,0.002325111
extreme,power_extreme,0.41209257,0.001771104
