depen_var,factor,corr,sig
resi_all_abs,duration,0.46049188906331745,0.92748137125588
resi_all_abs,electri_consump_service,2.0557131877784047,0.5609241105321006
resi_all_abs,num_positive,12.33201576201576,0.006328188295284599
resi_all_abs,season,10.089377289377289,0.017821476118759706
resi_all_abs,gdp,4.816613016613017,0.18572880908369363
resi_all_abs,gdp-2,4.036889053803341,0.2575082314549608
resi_all_abs,gdp-3,4.816613016613017,0.18572880908369363
resi_all_abs,pop,2.7576982276982283,0.43051096463623184
resi_all_abs,gdp_pop,1.709431910946197,0.6348389057866621
resi_all_abs,pop_density,2.525927405927406,0.47062363795282014
resi_all_abs,energy_consumption,0.9376862218241531,0.816325031498779
resi_all_abs,energy_intensity,2.5830906130906133,0.4604616954813532
resi_all_abs,electri_consump_all,3.1951029550159986,0.3625112043544564
resi_all_abs,electri_consump_resi,3.5434324934324937,0.31517260688875515
resi_all_abs,electri_consump_indus,3.402128014842301,0.3336793844345567
resi_all_abs,coal_consump,4.385976124885216,0.2226892542510253
resi_all_abs,oil_consumption,2.119565217391305,0.5479647389571094
resi_all_abs,gas_consumption,9.813110367892977,0.02022343104134728
resi_all_abs,electri_produce,5.353968253968254,0.14763855771257442
resi_all_abs,coal_produce,2.1095454545454544,0.5499840680470518
resi_all_abs,industry_resi_all_abs,12.394506948078376,0.006146986724171574
resi_all_abs,industry_resi_in_abs,12.156666085237514,0.0068653107847073585
resi_all_abs,industry_resi_after_abs,1.1880051165765455,0.7558825944985877
resi_all_abs,industry_extreme,5.679000232571662,0.12831589959819711
resi_in_abs,duration,0.46049188906331745,0.92748137125588
resi_in_abs,electri_consump_service,2.0557131877784047,0.5609241105321006
resi_in_abs,num_positive,12.33201576201576,0.006328188295284599
resi_in_abs,season,10.089377289377289,0.017821476118759706
resi_in_abs,gdp,4.816613016613017,0.18572880908369363
resi_in_abs,gdp-2,4.036889053803341,0.2575082314549608
resi_in_abs,gdp-3,4.816613016613017,0.18572880908369363
resi_in_abs,pop,2.7576982276982283,0.43051096463623184
resi_in_abs,gdp_pop,1.709431910946197,0.6348389057866621
resi_in_abs,pop_density,2.525927405927406,0.47062363795282014
resi_in_abs,energy_consumption,0.9376862218241531,0.816325031498779
resi_in_abs,energy_intensity,2.5830906130906133,0.4604616954813532
resi_in_abs,electri_consump_all,3.1951029550159986,0.3625112043544564
resi_in_abs,electri_consump_resi,3.5434324934324937,0.31517260688875515
resi_in_abs,electri_consump_indus,3.402128014842301,0.3336793844345567
resi_in_abs,coal_consump,4.385976124885216,0.2226892542510253
resi_in_abs,oil_consumption,2.119565217391305,0.5479647389571094
resi_in_abs,gas_consumption,9.813110367892977,0.02022343104134728
resi_in_abs,electri_produce,5.353968253968254,0.14763855771257442
resi_in_abs,coal_produce,2.1095454545454544,0.5499840680470518
resi_in_abs,industry_resi_all_abs,12.394506948078376,0.006146986724171574
resi_in_abs,industry_resi_in_abs,12.156666085237514,0.0068653107847073585
resi_in_abs,industry_resi_after_abs,1.1880051165765455,0.7558825944985877
resi_in_abs,industry_extreme,5.679000232571662,0.12831589959819711
resi_after_abs,duration,0.46049188906331745,0.92748137125588
resi_after_abs,electri_consump_service,2.0557131877784047,0.5609241105321006
resi_after_abs,num_positive,12.33201576201576,0.006328188295284599
resi_after_abs,season,10.089377289377289,0.017821476118759706
resi_after_abs,gdp,4.816613016613017,0.18572880908369363
resi_after_abs,gdp-2,4.036889053803341,0.2575082314549608
resi_after_abs,gdp-3,4.816613016613017,0.18572880908369363
resi_after_abs,pop,2.7576982276982283,0.43051096463623184
resi_after_abs,gdp_pop,1.709431910946197,0.6348389057866621
resi_after_abs,pop_density,2.525927405927406,0.47062363795282014
resi_after_abs,energy_consumption,0.9376862218241531,0.816325031498779
resi_after_abs,energy_intensity,2.5830906130906133,0.4604616954813532
resi_after_abs,electri_consump_all,3.1951029550159986,0.3625112043544564
resi_after_abs,electri_consump_resi,3.5434324934324937,0.31517260688875515
resi_after_abs,electri_consump_indus,3.402128014842301,0.3336793844345567
resi_after_abs,coal_consump,4.385976124885216,0.2226892542510253
resi_after_abs,oil_consumption,2.119565217391305,0.5479647389571094
resi_after_abs,gas_consumption,9.813110367892977,0.02022343104134728
resi_after_abs,electri_produce,5.353968253968254,0.14763855771257442
resi_after_abs,coal_produce,2.1095454545454544,0.5499840680470518
resi_after_abs,industry_resi_all_abs,12.394506948078376,0.006146986724171574
resi_after_abs,industry_resi_in_abs,12.156666085237514,0.0068653107847073585
resi_after_abs,industry_resi_after_abs,1.1880051165765455,0.7558825944985877
resi_after_abs,industry_extreme,5.679000232571662,0.12831589959819711
extreme,duration,0.46049188906331745,0.92748137125588
extreme,electri_consump_service,2.0557131877784047,0.5609241105321006
extreme,num_positive,12.33201576201576,0.006328188295284599
extreme,season,10.089377289377289,0.017821476118759706
extreme,gdp,4.816613016613017,0.18572880908369363
extreme,gdp-2,4.036889053803341,0.2575082314549608
extreme,gdp-3,4.816613016613017,0.18572880908369363
extreme,pop,2.7576982276982283,0.43051096463623184
extreme,gdp_pop,1.709431910946197,0.6348389057866621
extreme,pop_density,2.525927405927406,0.47062363795282014
extreme,energy_consumption,0.9376862218241531,0.816325031498779
extreme,energy_intensity,2.5830906130906133,0.4604616954813532
extreme,electri_consump_all,3.1951029550159986,0.3625112043544564
extreme,electri_consump_resi,3.5434324934324937,0.31517260688875515
extreme,electri_consump_indus,3.402128014842301,0.3336793844345567
extreme,coal_consump,4.385976124885216,0.2226892542510253
extreme,oil_consumption,2.119565217391305,0.5479647389571094
