date,cf,ts,begin_idx,end_idx
2021-06-08,12.12858354958715,12.128577336306508,False,False
2021-06-09,12.294277084667723,12.294266369349277,False,False
2021-06-10,12.543919078604032,12.54390918305291,False,False
2021-06-11,12.5952799255299,12.595285627407257,False,False
2021-06-12,12.541544847653478,12.541457125481452,False,False
2021-06-13,12.226580923571632,12.226542874518548,False,False
2021-06-14,12.21955743238593,12.219536995742956,False,False
2021-06-15,12.709610673897723,12.70959821609568,False,False
2021-06-16,12.828586673351785,12.828581390634502,False,False
2021-06-17,12.863625446129156,12.863610784512467,False,False
2021-06-18,12.963895831155158,12.963794851003447,False,False
2021-06-19,12.893917162029453,12.893852827893774,False,False
2021-06-20,12.884602555220225,12.884511656192982,False,False
2021-06-21,13.003582352628275,13.003494830731803,False,False
2021-06-22,12.875213557634622,12.875170484492198,False,False
2021-06-23,12.618552557559713,12.618521792012972,False,False
2021-06-24,12.716538741828465,12.716487330225016,False,False
2021-06-25,12.688624317704498,12.688580579768903,False,False
2021-06-26,12.725938482068713,12.725945266572062,False,False
2021-06-27,12.688624317704498,12.688580579768903,False,False
2021-06-28,12.919556251021255,12.919541050070952,False,False
2021-06-29,12.679225509129697,12.67912264342185,False,False
2021-06-30,12.886890235052277,12.886846949118185,False,False
2021-07-01,12.337926067343478,12.337936347050475,False,False
2021-07-02,12.399655141690905,12.399704844921954,False,False
2021-07-03,12.488866241939311,12.488913034664503,False,False
2021-07-04,12.694569172209857,12.694652341374418,False,False
2021-07-05,12.95968408526557,12.959708088384351,False,False
2021-07-06,13.1516562833794,13.151669166835596,False,False
2021-07-07,13.423632847187335,13.423730792621122,False,False
2021-07-08,13.681971586893935,13.682014190147983,False,False
2021-07-09,13.894455751545074,13.894525846340967,False,False
2021-07-10,13.919608358604561,13.919630245286841,False,False
2021-07-11,13.949316557450862,13.949405230083114,False,False
2021-07-12,14.056798805090684,14.056828704642205,False,False
2021-07-13,14.168759820560528,14.168806000405434,False,False
2021-07-14,14.168759820560528,14.168806000405434,False,False
2021-07-15,14.296769485918471,14.296780052706264,False,False
2021-07-16,13.96082151403056,13.960848165416579,False,False
2021-07-17,13.359679870327664,13.359743766470707,False,False
2021-07-18,13.019096763973698,13.01914129333063,False,False
2021-07-19,13.195085803724353,13.195105615244275,False,False
2021-07-20,12.881987013141014,12.882059598621531,False,False
2021-07-21,12.680830460858504,12.680874113115753,True,False
2021-07-22,12.525347544614682,12.525460368943845,False,False
2021-07-23,12.76762821417977,12.767630245286842,False,False
2021-07-24,12.920792550411404,12.92082546117981,False,False
2021-07-25,12.907056251403688,12.907163997567404,False,False
2021-07-26,13.291075254781369,13.291086154469898,False,False
2021-07-27,13.528801613961235,13.52881897425502,False,False
2021-07-28,13.640759182563365,13.640796270018242,False,False
2021-07-29,13.636209698321522,13.636242448814109,False,False
2021-07-30,13.341388357900401,13.341411717007906,False,False
2021-07-31,13.270471143346647,13.270535576728156,False,False
2021-08-01,13.436258723834921,13.997512264342182,False,False
2021-08-02,13.615417717299827,14.184102169065476,False,False
2021-08-03,13.917076709387983,14.498432596797079,False,False
2021-08-04,14.293548164714698,14.890645043584025,False,False
2021-08-05,14.06000911594871,14.64730752077843,False,False
2021-08-06,14.132541791165535,14.722854246908575,False,False
2021-08-07,14.19149257061643,14.784272450841273,False,False
2021-08-08,13.985105069757699,14.56930873707683,False,False
2021-08-09,14.148405010065625,14.739434826677476,False,False
2021-08-10,14.207353278819639,14.800853030610174,False,False
2021-08-11,13.9193631894294,14.50076788972228,False,False
2021-08-12,13.635868471869735,14.205470099331034,False,False
2021-08-13,13.678954525503771,14.250307723494831,False,False
2021-08-14,12.96443774955305,13.505933103588081,False,False
2021-08-15,12.454194654251465,12.974420433813096,False,False
2021-08-16,12.615202663078318,13.142094465842288,False,False
2021-08-17,12.828369401670892,13.36418082302858,False,False
2021-08-18,12.880553153849911,13.418593148185685,False,False
2021-08-19,12.724035682179721,13.255472937360633,False,True
2021-08-20,12.549365517421778,13.073553618487738,False,False
2021-08-21,12.438244644706128,12.957839854044193,False,False
2021-08-22,12.415598366904106,12.934253395499697,False,False
2021-08-23,12.388364583655745,12.905879586458546,False,False
2021-08-24,12.431460081307844,12.950717210622336,False,False
2021-08-25,12.329411965387987,12.844461382525846,False,False
2021-08-26,11.905265269342529,12.402507196432191,False,False
2021-08-27,11.893900821165737,12.390713967159941,False,False
2021-08-28,11.841727261544397,12.3364184066491,False,False
2021-08-29,11.714741131149854,12.204124062436652,False,False
2021-08-30,11.728397024226858,12.218252584634097,False,False
2021-08-31,12.508569705137825,13.031051287249138,False,False
2021-09-01,12.484349725203852,11.993947699168864,False,False
2021-09-02,12.637277205766793,12.140837624163797,False,False
