date,cf,ts,begin_idx,end_idx
2019-11-05,58.325462699499624,58.411226518442845,False,False
2019-11-06,60.95735665028597,61.04686400256005,False,False
2019-11-07,61.73309102136734,61.82374898875435,False,False
2019-11-08,61.27632563423543,61.36655811559706,False,False
2019-11-09,62.52288145755932,62.61477973216267,False,False
2019-11-10,60.500110800021275,60.58910729911419,False,False
2019-11-11,59.779788103308576,59.86767368119889,False,False
2019-11-12,62.09328090914575,62.18474871285628,False,False
2019-11-13,63.43741610477048,63.530858969342944,False,False
2019-11-14,63.74226136225167,63.83584149487733,False,False
2019-11-15,62.85542648394791,62.94805377212507,False,False
2019-11-16,62.4675484133785,62.55932836388366,False,False
2019-11-17,62.89716397210374,62.989925213478614,False,False
2019-11-18,62.37048067883052,62.46200555425121,False,False
2019-11-19,64.03301234289056,64.12724409348625,False,False
2019-11-20,65.05823178705178,65.15366023693598,False,False
2019-11-21,66.72079016717716,66.81889877617104,False,False
2019-11-22,67.73192281457531,67.83173499269527,False,False
2019-11-23,68.29986547572483,68.40039443269914,False,False
2019-11-24,67.78728138818845,67.88718636097428,False,False
2019-11-25,66.29119362931857,66.38886775686468,False,False
2019-11-26,68.06440470130673,68.16444320236914,False,False
2019-11-27,69.54689167709647,69.64918187955328,False,False
2019-11-28,70.25369174963724,70.35703557054313,False,False
2019-11-29,70.18428290121788,70.28743844505009,False,False
2019-11-30,69.62995999106882,69.73235893197177,False,False
2019-12-01,56.07623333233967,56.04594274620004,False,False
2019-12-02,54.41325359477029,54.383816273552036,False,False
2019-12-03,53.98660083784191,53.95740656809246,False,False
2019-12-04,54.38030866646511,54.35088495075779,False,False
2019-12-05,55.20064016993085,55.17082962191155,False,False
2019-12-06,56.26218019243229,56.2317614129635,False,False
2019-12-07,56.67769405705484,56.646967678709586,False,False
2019-12-08,56.90723778508144,56.876694775865346,False,False
2019-12-09,56.2728227774676,56.242399022388454,False,False
2019-12-10,58.23121793481244,58.199605990521,False,False
2019-12-11,57.5856942299143,57.55455946156147,False,False
2019-12-12,57.37794773437597,57.34689974565954,False,False
2019-12-13,58.08885758624488,58.05758258809219,False,False
2019-12-14,59.139232163010824,59.10719777337288,False,False
2019-12-15,58.646711501442006,58.61492542232481,False,False
2019-12-16,57.46510266092476,57.43403761009797,False,False
2019-12-17,58.756192597362904,58.72469649830565,False,False
2019-12-18,58.19827477713909,58.16678783378448,False,False
2019-12-19,60.32034725361328,60.28751975531119,False,False
2019-12-20,61.57853437432317,61.54536048678231,False,False
2019-12-21,60.58286592470222,60.55006500920348,False,False
2019-12-22,60.70342647291556,60.670586860666994,False,False
2019-12-23,60.29859865051969,60.26601820434588,False,False
2019-12-24,60.34263642957579,60.31015296685361,False,False
2019-12-25,61.08650148773107,61.05365396602281,False,False
2019-12-26,61.15186092850989,61.11872444920729,False,False
2019-12-27,60.90052686090456,60.86749580108625,False,False
2019-12-28,60.37508350159552,60.342405293301624,False,False
2019-12-29,59.08452388810143,59.05231223538248,False,False
2019-12-30,60.84581384177313,60.81317609338435,False,False
2019-12-31,61.27246345094184,61.239246300670814,False,False
2020-01-01,57.89026019412029,57.83407962411061,False,False
2020-01-02,55.617279066783645,55.56306317794205,False,False
2020-01-03,53.723694329224045,53.671322774196,False,False
2020-01-04,53.49843233644261,53.44629206843529,False,False
2020-01-05,54.76804134722522,54.71465724327365,False,False
2020-01-06,54.76804134722522,54.71465724327365,False,False
2020-01-07,54.89056699532745,54.837046334689425,False,False
2020-01-08,54.03095980793328,53.978285705740355,False,False
2020-01-09,53.40654743656405,53.354457812601844,False,False
2020-01-10,54.57340197760356,54.520237956124106,False,False
2020-01-11,54.87030754560999,54.81684619338779,False,False
2020-01-12,53.70295693088064,53.65061338563468,False,False
2020-01-13,53.518678492008036,53.46649220973691,False,False
2020-01-14,50.816389409308435,50.76685931998344,False,False
2020-01-15,50.314950282499446,50.26592976552035,False,False
2020-01-16,49.87479501447002,49.826166465250715,False,False
2020-01-17,49.52651156103819,49.478237420814565,False,False
2020-01-18,48.79967005567352,48.752107411504205,False,False
2020-01-19,46.68063390351931,46.63510996988199,False,False
2020-01-20,45.687617425529716,45.6430963079768,False,False
2020-01-21,43.06695007566449,43.024942979776114,False,False
2020-01-22,40.84556697308236,40.80570000501092,True,False
2020-01-23,39.330526480701025,39.292160566139046,False,False
2020-01-24,37.477579012459074,37.44104677711166,False,False
2020-01-25,37.03741922482624,37.00128347684204,False,False
2020-01-26,36.38223579356637,36.34673099903464,False,False
2020-01-27,36.19797294763934,36.16266640616574,False,False
2020-01-28,34.7852720587132,34.75131591740799,False,False
2020-01-29,35.04122077273677,35.00701462480872,False,False
2020-01-30,34.69313870007642,34.659311912487965,False,False
2020-01-31,34.20178143615941,34.168397554132426,False,False
2020-02-01,33.86061500635531,33.82759797133212,False,False
2020-02-02,33.73835001054597,33.7054352120318,False,False
2020-02-03,33.5753660026094,33.54258925498393,False,False
2020-02-04,33.534621142243516,33.501906057236404,False,False
2020-02-05,33.42257592563037,33.389984826159015,False,False
2020-02-06,33.39203639160755,33.35942999057673,False,False
2020-02-07,33.208666262017836,33.176270726169534,False,False
2020-02-08,33.127148575704545,33.09484774764559,False,False
2020-02-09,32.8724922088892,32.840393866879694,False,False
2020-02-10,32.8724922088892,32.840393866879694,False,False
2020-02-11,32.28167714904726,32.250176292881704,False,False
2020-02-12,32.75026177488162,32.71828769060824,False,False
2020-02-13,32.75026177488162,32.71828769060824,False,False
2020-02-14,32.89288403677535,32.8607637572679,False,False
2020-02-15,33.04567833304846,33.01342476912168,False,False
2020-02-16,32.40390317441202,32.37228246915318,False,False
2020-02-17,33.320708645064755,33.288191957246895,False,False
2020-02-18,32.8724922088892,32.840393866879694,False,False
2020-02-19,33.08643593458052,33.054164549898054,False,False
2020-02-20,34.156052903730114,34.12273504984555,False,False
2020-02-21,34.99132466429559,34.957164976386494,False,False
2020-02-22,34.53292926002452,34.49923852385406,False,False
2020-02-23,33.758764542405906,33.72580510242,False,False
2020-02-24,35.53122540096121,35.49657099047171,False,False
2020-02-25,36.916613958252505,36.88059187629196,False,False
2020-02-26,37.68061311599933,37.64384035253192,False,False
2020-02-27,36.13220819813085,36.09697350966381,False,False
2020-02-28,35.643278295650866,35.608492221549085,False,False
2020-02-29,38.03715050895748,38.000030519181095,False,False
2020-03-01,44.7764006659825,44.65804235862092,False,False
2020-03-02,45.929309961017445,45.807866088005774,False,False
2020-03-03,47.516087947922884,47.390436822082094,False,False
2020-03-04,48.45819089754302,48.330054599266525,False,False
2020-03-05,47.11936398467156,46.99475170129137,False,False
2020-03-06,49.474729675078784,49.34390931031016,False,False
2020-03-07,48.21025843684041,48.08278676316536,False,False
2020-03-08,47.25569076053305,47.13077730266144,False,False
2020-03-09,50.10708368693772,49.97458374994028,False,False
2020-03-10,49.69768997638342,49.56628061371464,False,False
2020-03-11,49.23915276210972,49.108976574499636,False,False
2020-03-12,48.55735843873999,48.428961733707006,False,False
2020-03-13,49.36314165139046,49.232610492550215,False,False
2020-03-14,48.14825880820294,48.020998095654505,False,True
2020-03-15,49.11520225753163,48.98534265644905,False,False
2020-03-16,50.03231846756146,49.90006390093679,False,False
2020-03-17,50.16896503621432,50.0363158344223,False,False
2020-03-18,47.56561299297735,47.43983380627348,False,False
2020-03-19,49.78481537137798,49.65319214603762,False,False
2020-03-20,51.44574891010634,51.309773481857725,False,False
2020-03-21,51.619538928446026,51.48308729924397,False,False
2020-03-22,49.90855377007752,49.77659973197277,False,False
2020-03-23,51.60715978083952,51.470695615924484,False,False
2020-03-24,51.0615765941962,50.926593210444196,False,False
2020-03-25,50.91256649995404,50.777949593639214,False,False
2020-03-26,50.082344109224756,49.949913549359025,False,False
2020-03-27,48.706109635792494,48.57732243536769,False,False
2020-03-28,49.41273490030053,49.28212064279931,False,False
2020-03-29,50.55313348842844,50.41949610583581,False,False
2020-03-30,49.41273490030053,49.28212064279931,False,False
2020-03-31,51.74330367145648,51.60649488517912,False,False
2020-04-01,62.77007269657449,66.07596360729046,False,False
2020-04-02,65.2725059697274,68.70990360054198,False,False
2020-04-03,63.32298814010562,66.65763714393114,False,False
2020-04-04,59.99084764680199,63.150055185141404,False,False
2020-04-05,58.76857325689853,61.863357108953615,False,False
2020-04-06,60.034531083984064,63.196453268803374,False,False
2020-04-07,61.83875524048677,65.0953797172142,False,False
2020-04-08,64.13754553034269,67.51543586138969,False,False
2020-04-09,64.66164505120015,68.06712039273665,False,False
