,city,type,syn_coef,att,att_in,att_pos,year_dff,resi_all_abs,resi_in_abs,resi_after_abs,extreme,duration,num_positive,season,gdp,gdp-2,gdp-3,pop,gdp_pop,pop_density,location geographic,location economic,num_scale,cement_prod,steel_prod,metal_value,paper_value,fuel_value,chemi_value,energy_consump,electri_consump_indus,area,ubr,ifcity,housing_area,power_resi_all_abs,power_resi_in_abs,power_resi_after_abs,power_extreme
10,Dalian 1,2,0.0149,0.193,-0.067,0.695,-1.305762711,0.777,0.931,0.534,0.659,27,345,4.0,8430.9,3712.5,4155.4,751.0,11.227,567.0,2,2,1875,1018.7,118.5,32.22,24.13,1799.02,2.5,10167.7,210.0,1.324514991,82.35,1,,0.915,0.946,0.75,0.911
11,Fujian,2,0.0043,0.056,0.016,0.14,-0.793710976,0.967,0.982,0.793,0.906,28,468,3.5,53109.85,25078.2,24955.45,4188.0,12.6814,349.0,4,4,18373,9443.13,3737.7,2618.3,1287.5,1551.6,1430.4,13718.31,1324.2,12.0,70.11,0,,0.706,0.834,0.153,0.313
12,Fujian 1,2,-0.009,-0.071,0.086,-0.399,-4.238940795,0.948,0.922,0.779,0.963,45,296,1.0,53109.85,25078.2,24955.45,4188.0,12.6814,349.0,4,4,18373,9443.13,3737.7,2618.3,1287.5,1551.6,1430.4,13718.31,1324.2,12.0,70.11,0,,0.989,0.986,0.951,0.988
13,Gansu,3,-0.0782,-1.036,-0.729,-1.687,-2.100602109,0.609,0.628,0.32,0.439,37,4492,3.0,11201.6,3945.0,5741.3,2509.0,4.464567557,58.9,1,1,1825,4409.5,936.7,295.4,10.47,43.79,0.0,7818.02,961.48,42.59762309,54.19,0,,0.927,0.905,0.893,0.667
14,Gansu 1,3,-0.2244,-2.245,-1.784,-3.227,-4.575135901,0.443,0.446,0.279,0.325,29,144,4.0,11201.6,3945.0,5741.3,2509.0,4.464567557,58.9,1,1,1825,4409.5,936.7,295.4,10.47,43.79,0.0,7818.02,961.48,42.59762309,54.19,0,,0.53,0.521,0.189,0.555
15,Guangxi,3,-0.0153,-0.485,-0.252,-1.315,-0.819366877,0.917,0.932,0.577,0.629,55,252,1.0,26300.87,8938.57,13092.49,5733.0,4.587627,219.0,4,1,6185,11938.45,3346.74,1446.7,309.1,918.2,0.0,11270.1,1234.1,26.17808219,55.65,0,,0.886,0.948,0.424,0.706
16,Guangzhou,2,-0.0011,0.008,0.018,-0.011,-0.300574379,0.966,0.97,0.93,0.692,17,281,2.0,28839.0,7909.3,20611.4,1873.4,15.39393616,2529.8,4,4,5804,0.0,643.11,383.42,156.66,646.4,7.0,6294.2,397.1,0.740532848,86.5,1,,0.884,0.738,0.8,0.156
17,Guangzhou 1,4,0.017,0.205,0.203,0.231,-0.248473832,0.687,0.691,0.415,0.663,83,75000,4.0,28839.0,7909.3,20611.4,1873.4,15.39393616,2529.8,4,4,5804,0.0,643.11,383.42,156.66,646.4,7.0,6294.2,397.1,0.740532848,86.5,1,,0.31,0.307,0.066,0.36
18,Guangzhou 2,2,-0.0054,-0.055,-0.059,-0.05,1.139571204,0.958,0.928,0.95,0.954,36,167,2.0,28839.0,7909.3,20611.4,1873.4,15.39393616,2529.8,4,4,5804,0.0,643.11,383.42,156.66,646.4,7.0,6294.2,397.1,0.740532848,86.5,1,,0.807,0.81,0.702,0.857
19,Guiyang,3,-0.0843,-0.451,-0.451,-0.451,-2.786992445,0.489,0.533,0.173,0.615,19,1325,3.0,4921.2,1739.6,2978.0,594.6,8.276488396,739.3,4,1,758,1113.84,128.3,141.78,8.91,56.63,0.0,657.02,169.7,0.804274314,80.0,1,,0.223,0.148,0.084,0.359
20,Guizhou,4,0.0292,1.147,0.859,2.2,-5.75053021,0.798,0.789,0.371,0.816,54,146,1.0,20164.6,7113.0,10190.4,3856.0,5.2294,227.0,4,1,4686,10991.07,707.74,528.35,90.37,130.67,0.0,10423.3,982.07,16.98678414,54.81,0,,0.831,0.91,0.366,0.691
21,Hainan,1,0.0099,0.02,-0.009,0.101,-0.191540913,0.751,0.756,0.422,0.793,41,12088,3.0,6818.2,1310.9,4089.5,995.3,6.850396865,283.0,4,4,412,2019.04,0.0,4.49,140.97,632.02,0.0,1209.59,158.2,3.516961131,61.49,0,,0.468,0.384,0.99,0.368
22,Haerbin,3,-0.0389,-0.103,-0.073,-0.159,0.30799215,0.881,0.907,0.445,0.848,31,330,1.0,5135.2,1157.6,3361.8,948.5,5.1113,186.0,2,2,1196,779.0,132.295,15.83,4.24,21.6,0.0,2085.6,109.5,5.099462366,70.6,1,,0.819,0.685,0.504,0.656
23,Haerbin 1,2,-3.08e-07,-0.002,-0.002,-0.002,-0.477790125,0.985,0.988,0.947,0.992,13,106,4.0,5135.2,1157.6,3361.8,948.5,5.1113,186.0,2,2,1196,779.0,132.295,15.83,4.24,21.6,0.0,2085.6,109.5,5.099462366,70.6,1,,0.611,0.672,0.303,0.76
24,Hangzhou,2,-5.29e-07,0.0,0.0,0.0,-1.568587181,1.0,1.0,1.0,1.0,12,114,1.0,16105.83,4820.54,10959.07,1193.6,13.6617,724.3,4,4,5992,1736.0,498.0,367.55,284.26,15.48,656.5,,409.19,1.647935938,84.0,1,,1.0,1.0,1.0,1.0
25,Hangzhou 1,2,0.009,0.069,0.036,0.138,-0.573261147,0.85,0.872,0.763,0.866,16,180,2.0,16105.83,4820.54,10959.07,1193.6,13.6617,724.3,4,4,5992,1736.0,498.0,367.55,284.26,15.48,656.5,,409.19,1.647935938,84.0,1,,0.842,0.911,0.623,0.768
26,Hebei,2,0.0212,1.476,0.545,3.37,-6.798026146,0.919,0.954,0.7,0.874,75,312,1.5,42370.4,17050.1,20910.0,7420.0,5.710296,412.0,2,4,13181,10231.49,28409.63,480.32,288.57,2403.8,224.96,32545.43,2565.4,18.00970874,61.65,0,,0.94,0.935,0.924,0.942
27,Heilongjiang,3,-0.043,-0.215,-0.18,-0.285,-0.307996762,0.701,0.719,0.549,0.531,34,1800,3.0,15901.0,4648.9,7642.2,3255.0,4.885099846,69.2,2,2,3531,2147.96,782.0,34.23,18.38,950.1,0.0,6390.4,647.24,47.03757225,66.2,0,,0.562,0.826,0.202,0.224
28,Heilongjiang 1,4,0.0563,0.294,0.361,0.188,-1.116731539,0.851,0.71,0.89,0.724,62,482,1.0,15901.0,4648.9,7642.2,3255.0,4.885099846,69.2,2,2,3531,2147.96,782.0,34.23,18.38,950.1,0.0,6390.4,647.24,47.03757225,66.2,0,,0.901,0.926,0.568,0.834
29,Heilongjiang 2,4,0.0019,0.321,0.296,0.37,1.871085159,0.807,0.813,0.657,0.787,45,559,2.0,15901.0,4648.9,7642.2,3255.0,4.885099846,69.2,2,2,3531,2147.96,782.0,34.23,18.38,950.1,0.0,6390.4,647.24,47.03757225,66.2,0,,0.683,0.753,0.532,0.485
30,Henan,2,0.0127,0.95,0.456,1.982,-3.944392694,0.913,0.929,0.685,0.873,83,1273,1.5,61345.05,25465.04,30062.23,9872.0,6.214045,617.0,3,3,19524,10465.58,3837.97,4758.4,521.1,1011.59,236.9,22300.0,2565.4,16.0,57.07,0,,0.843,0.89,0.56,0.697
31,Huhehaote,3,-0.0409,-0.129,-0.101,-0.185,-0.00955354,0.866,0.877,0.489,0.866,49,436,1.5,3329.1,1155.8,2012.7,340.6,9.774221961,198.0,1,1,261,497.68,536.81,65.1,69.31,235.82,0.0,1725.5,231.9,1.72020202,79.8,1,,0.591,0.678,0.219,0.372
32,Huhehaote 1,1,0.0487,0.123,0.197,-0.026,-0.164392739,0.614,0.55,0.767,0.598,40,1765,3.5,3329.1,1155.8,2012.7,340.6,9.774221961,198.0,1,1,261,497.68,536.81,65.1,69.31,235.82,0.0,1725.5,231.9,1.72020202,79.8,1,,0.644,0.587,0.428,0.729
33,Hunan,3,-0.0442,-1.426,-1.359,-1.558,2.663874802,0.744,0.64,0.75,0.82,28,110,3.0,48670.37,19182.58,24885.06,6604.0,7.36983,314.0,4,3,16562,14814.6,2415.1,2022.6,533.6,771.8,33.3,10896.8,261.8,21.03184713,60.31,0,,0.803,0.924,0.4,0.329
