,cf,ts,last_year
0,3.5953520268572663,3.5292609545240525,8.40574017456918
1,3.5620411470965836,3.496561555412512,8.270122287773397
2,3.4911865672418445,3.42700733447424,8.017623692970329
3,3.384475415416054,3.322252905481285,8.284099618724495
4,3.3536365288873675,3.29197876217261,8.279490877167646
5,3.4344728373805524,3.3713322254047062,8.340235601949713
6,4.519936656783585,4.320158782249367,8.248287430233574
7,4.518852502453223,4.319123704227583,8.369852432937984
8,4.564840883537984,4.363080521240278,8.40415355862338
9,4.600932512761476,4.397578085090391,8.569388276407436
10,4.608616101738929,4.4049218503252385,8.720570110100116
11,4.816590303843374,4.603709717705955,8.4602895418486
12,4.877904323320111,4.6623162886182055,8.187542705451508
13,4.841774633923203,4.627780948197953,8.15943693726876
14,4.9402696418337,4.721927716296129,8.276317645276047
15,4.7804576286108444,4.5691743772857025,8.29195714531322
16,4.72353017947814,4.514761005658781,8.32935594974994
17,4.906353148941625,4.689507863803611,8.262340314324948
18,5.012532006461727,4.790998397136633,8.187542705451508
19,5.036634306898615,4.8140345496068475,7.938141789399764
20,4.96654471560151,4.747041580123939,7.8399227070407
21,4.935923116652887,4.717772293580937,7.609258969777454
22,4.96984283369025,4.750192146073456,7.624898469814628
23,4.928241036035464,4.710428528346091,7.361467335613593
24,5.059605440473548,4.835990292171112,6.911019513286874
25,5.140600806740442,4.913409595012136,6.493263534757668
26,5.271964848970872,5.038971358837157,6.251689924038537
27,5.351871384966736,5.11534802834237,6.356134585156361
28,5.396774499178626,5.158269767333281,5.982033211078744
29,5.356258333323914,5.1195412276277,5.639150394563254
30,5.2380476458670735,5.006551506344638,5.459908124571991
31,5.378146220415108,5.140461892170181,5.664732687860776
32,5.495266546922731,5.252408980117429,5.621622066019175
33,5.551111205655742,5.305787273722565,5.450841747738847
34,5.545640552552185,5.300558996415453,5.222089504924589
35,5.501826030298078,5.258679890760353,5.130911975239268
36,9.348419858289454,9.830747953318635,5.10604743677437
37,9.071234756007174,9.539263938133047,5.071232549735096
38,9.00009932737659,9.464466329259604,5.217118108294415
39,9.065709054215615,9.53344634633178,5.452534138081035
40,9.202502459324409,9.67729952541767,5.616650669389001
