,cf,ts,last_year
0,42.232051330854645,43.2543,47.3627
1,43.45447705093964,44.5063,46.5987
2,43.83191350773178,44.8929,45.1757
3,43.404848406050185,44.455499999999994,46.6775
4,42.858049414466855,43.89540000000001,46.6512
5,42.460926629684245,43.488699999999994,46.9937
6,41.616260982653856,42.6236,46.4757
7,40.34420024460317,41.32070000000001,47.1606
8,39.976645243455245,40.94429999999999,47.3537
9,40.94023512245771,41.9312,48.2847
10,40.947588516980936,40.696000000000005,49.1368
11,40.93773603038219,40.68630000000001,47.6699
12,41.35435202150993,41.100300000000004,46.1332
13,41.681373055111926,41.42530000000001,45.975
14,41.75097229409532,41.494499999999995,46.6336
15,43.63514420698266,43.3671,46.7214
16,44.19063422296859,43.9192,46.9322
17,43.86331604435768,43.5938,46.5548
18,44.755623517493255,44.480700000000006,46.1332
19,43.30778272866336,43.041799999999995,44.7279
20,42.79201475764548,42.52909999999999,44.1747
21,44.44833466981588,44.17530000000001,42.875
22,45.41027092129226,45.1313,42.9628
23,45.62861061876306,45.348299999999995,41.4787
24,44.993634406382064,44.717299999999994,38.9406
25,44.71623536518829,44.44160000000001,36.5867
26,45.02353674768318,44.74700000000001,35.2256
27,44.64662728004407,44.37239999999999,35.814
28,45.83671652765622,45.555200000000006,33.7062
29,46.570501753865614,46.2844,31.7742
30,47.76061926604386,47.4672,30.7642
31,48.48454838309248,48.1867,31.9183
32,48.891346728125065,48.591,31.6754
33,48.52426425599222,48.226200000000006,30.7131
34,47.45335501091344,47.1619,29.4242
35,48.72253227254339,48.423300000000005,28.9104
36,49.78363866883253,49.47789999999999,28.7704
37,50.289568731874056,49.980700000000006,28.5742
38,50.24001458881175,49.931400000000004,29.3962
39,49.84305960951008,49.536899999999996,30.7227
40,51.063945938033534,51.5193,31.6474
41,49.54973934583627,49.991600000000005,33.4688
42,49.16110931342888,49.59949999999999,34.4123
43,49.519726219137105,49.96130000000001,35.6827
44,50.2669950348706,50.71520000000001,37.2145
45,51.233415254438725,51.6903,37.635
46,51.61171171750359,52.07190000000001,38.6157
47,51.821230050047554,52.28329999999999,38.7746
48,51.24341313065611,51.700399999999995,39.8021
49,53.02647004812229,53.499300000000005,42.3614
50,52.43869885773562,52.906299999999995,45.1824
51,52.2495464654277,52.71549999999999,45.7805
