,cf,ts,last_year
0,8.986171617221519,8.970210000000002,9.76543
1,8.965880117754436,8.949950000000001,9.95698
2,9.146468105954506,9.13023,10.1661
3,9.252290096049766,9.235860000000002,9.99528
4,9.199405285260127,9.183069999999999,10.0017
5,9.20716285181417,9.19082,9.92987
6,9.060833690272995,9.04474,9.93466
7,9.05462325626638,9.038539999999998,9.97136
8,9.071747570709457,9.05564,10.048
9,9.418857480131862,9.40213,10.0623
10,9.554275261936269,9.537310000000002,9.99688
11,9.540251921853582,9.52331,9.99049
12,9.555827570467331,9.538859999999998,9.92347
13,9.702166691559274,9.68494,9.88997
14,9.7239557778533,9.706689999999998,9.94739
15,9.927883452437788,9.910259999999997,10.1389
16,9.915410228378867,9.897809999999998,10.0879
17,9.75355352801636,9.73623,10.1661
18,9.854722404283978,9.83722,10.0352
19,10.18903212880336,10.211999999999998,10.0
20,10.083782109868505,10.106500000000002,9.68286
21,10.1692738913654,10.192200000000001,9.98055
22,10.350178800179462,10.3735,10.2039
23,10.438971198214306,10.462500000000002,10.254
24,10.522835109317798,10.546599999999998,10.3867
25,10.562286476488119,10.5861,10.6618
26,10.491628531017485,10.515300000000002,10.6861
27,10.384701794373159,10.408100000000001,10.5599
28,10.562286476488119,10.5861,10.5777
29,10.406074445990562,10.429499999999999,10.61
30,10.468618718947289,10.4922,10.4774
31,10.36993103857995,10.393299999999998,10.5405
32,10.323855149271191,10.347100000000001,10.3592
33,10.182458892853088,10.205399999999997,10.1213
34,10.230114139577607,10.253199999999998,10.0016
35,10.21367685393394,10.236700000000003,9.90289
36,10.25644268615064,10.2796,9.75728
37,10.226860707742482,10.2499,9.80095
38,10.175889102166654,10.198799999999999,9.76859
39,10.166011481866866,10.1889,9.82363
40,10.128185694966216,10.151,9.65693
41,10.036070822667925,10.058699999999998,9.64727
42,9.911127268827405,9.933479999999998,9.59223
43,9.886431971914353,9.908720000000002,9.57278
44,9.654556101868316,9.676330000000002,9.50808
45,9.437503774569326,9.458780000000003,9.50325
46,9.019839753755823,9.040180000000001,9.49353
47,8.6662826215673,8.685819999999998,9.34627
48,8.2156648265072,8.23419,9.22329
49,8.144989899508564,8.16336,9.22329
50,7.55997856845745,7.577020000000001,11.0098
51,7.484079356886699,7.500950000000001,10.8794
52,7.505103140242173,7.522030000000001,10.8522
53,7.4033118769007205,7.419999999999998,10.6714
54,7.387150617826199,7.403810000000002,10.3446
55,7.62138761016198,7.638580000000002,10.1423
56,7.912239605519332,7.930080000000001,9.90896
57,8.089938669938775,8.10818,9.72037
58,8.17077620032519,8.189199999999998,9.59392
59,8.146543852214059,8.16492,9.36637
60,8.245078594777747,8.263670000000001,9.14854
61,8.403419196773761,8.422369999999999,8.50874
62,8.338798622392932,8.3576,8.40367
63,8.369504038260061,8.38838,8.36673
64,8.453484030658458,8.472539999999999,8.25777
65,8.514894904733781,8.5341,8.15279
66,8.736254182432754,8.75595,8.21306
