,cf,ts,last_year
0,2.2661448698300783,2.43984,1.94216
1,2.328876904320685,2.50738,1.91084
2,2.3293463553799545,2.50789,1.85249
3,2.325735540177334,2.504,1.91406
4,2.3473956143799946,2.52732,1.91298
5,2.3717555004370316,2.55355,1.92704
6,2.372220230784519,2.55405,1.90578
7,2.2927730295587176,2.46851,1.93388
8,2.3500945726440663,2.53023,1.9418
9,2.359583412673897,2.54044,1.97997
10,2.141522852100545,2.20005,2.0149
11,2.1107765995912344,2.16846,1.95476
12,2.0509696345952984,2.10702,1.89175
13,2.0143316982851402,2.06938,1.88526
14,2.0379249760933984,2.09362,1.91227
15,2.0459158396806445,2.10183,1.91587
16,2.1048839886782584,2.16241,1.92452
17,2.1448977977911636,2.20352,1.90903
18,2.160479046330215,2.21952,1.89175
19,2.1444753141893487,2.20308,1.83412
20,2.1238403768824603,2.18188,1.81143
21,2.068247685513947,2.12477,1.75814
22,2.101927911556624,2.15937,1.76174
23,2.165952514740951,2.22515,1.70088
24,2.206383359464117,2.26668,1.5968
25,2.19080199415539,2.25067,1.50029
26,2.1588010043903774,2.2178,1.44447
27,2.064872623708253,2.1213,1.46859
28,2.0383434009147514,2.09405,1.38216
29,2.0707659270451235,2.12736,1.30294
30,2.1090999501833188,2.16674,1.26152
31,2.1461551531765624,2.20481,1.28842
32,2.1448977977911636,2.20352,1.27861
33,2.1575228052566464,2.21649,1.23978
34,2.165952514740951,2.22515,1.18774
35,2.153745012053088,2.21261,1.167
36,2.1166718182440043,2.17452,1.16135
37,2.194175776219184,2.25414,1.15343
38,2.1545853086124094,2.21347,1.18661
39,2.1111978709909116,2.1689,1.24015
40,2.077515232962539,2.13429,1.27748
41,2.324424791832937,2.28568,1.35101
42,2.160867449128003,2.12485,1.38909
43,2.1523519445813903,2.11648,1.44037
44,2.166061966246309,2.12996,1.50221
45,2.167485777147689,2.13136,1.51918
46,2.158018651452751,2.12205,1.55877
47,2.166061966246309,2.12996,1.56518
48,2.20245946539939,2.16575,1.60666
49,2.2166438858810555,2.1797,1.70997
50,2.2752696655832128,2.23735,1.82384
51,2.2970041854894028,2.25872,1.84798
52,2.282360392387269,2.24432,1.81555
