,cf,ts,last_year
0,5.302163116576524,5.20798,6.50758
1,5.208371450020548,5.11585,6.11425
2,5.181988500811038,5.08994,5.88676
3,4.979754795279172,4.89129,5.98509
4,5.016400128464992,4.92729,5.63286
5,4.9665651362834975,4.87834,5.30997
6,4.896227399089263,4.80925,5.14119
7,4.847381040686264,4.76127,5.25081
8,4.829880301999635,4.744080000000001,5.21085
9,4.806551115016082,4.72117,5.05258
10,4.8007120006710835,4.71543,4.84051
11,4.784678140806939,4.69968,4.756
12,4.780307153455171,4.69539,4.73295
13,4.754050320863912,4.6696,4.70068
14,4.742387112739021,4.658140000000001,4.83591
15,4.705924861910052,4.62233,5.05411
16,4.705924861910052,4.62233,5.20625
17,4.621345671382284,4.53925,5.50589
18,4.6884276010230055,4.60514,5.6611
19,4.6884276010230055,4.60514,5.87008
20,4.7088485340974175,4.6252,6.1221
21,4.730719826570191,4.64668,6.19125
22,4.638847856222243,4.55644,6.3526
23,4.77009562183876,4.68536,6.37873
24,4.705924861910052,4.62233,6.54776
25,4.736553870950148,4.65241,6.9688
26,4.889675455138091,4.80282,7.43288
27,5.0092548780326105,4.92027,7.53122
28,4.9436323029083535,4.85581,7.39907
29,4.832798052774372,4.74695,7.40983
30,5.086545162426188,4.99619,7.3499
31,5.284872144218866,5.190990000000001,7.48205
32,5.3942454513654905,5.29842,7.10096
33,5.172580048433114,5.08069,7.37756
34,5.10258440175945,5.01194,7.24541
35,5.445285488077613,5.34856,8.83763
36,7.374783455001262,7.5095399999999985,8.94145
37,7.564666160139097,7.702899999999999,8.68103
38,7.826009568559827,7.96902,8.64832
39,7.981176068944528,8.12702,8.1749
40,7.7606782204515685,7.90248,8.16036
41,8.148606957573689,8.29751,8.08751
42,7.940343582664262,8.08544,8.17126
43,7.783126028350517,7.925349999999998,8.37882
44,8.252756862159542,8.403560000000002,8.30052
45,8.185325973072356,8.334899999999998,8.19678
46,8.109815420702,8.258,7.81627
47,7.997513188052906,8.143650000000001,7.79257
48,8.130223319598407,8.27879,7.8854
49,7.930132251149454,8.075050000000001,7.95643
50,8.089391721676536,8.23721,8.06388
51,8.24044280880851,8.39102,7.88359
52,8.262951554070103,8.41394,7.94189
53,7.834172061800699,7.9773299999999985,7.91637
54,8.199677756872942,8.34951,8.18588
55,8.47324045896864,8.628079999999999,7.97832
56,8.501863374370089,8.65722,8.05109
57,8.220065421177958,8.370269999999998,8.12575
58,8.499822662140843,8.65514,8.03837
59,8.409967029458114,8.563640000000001,8.0966
60,8.385419870529859,8.53865,7.82899
61,8.248680437167945,8.39941,8.07115
62,8.022016719864016,8.1686,8.20768
63,8.138393513060219,8.287110000000002,8.02746
64,8.326221341858536,8.47837,7.92364
65,8.138393513060219,8.287110000000002,7.93091
66,8.522255737563084,8.677979999999998,9.13418
67,9.354298917184172,10.172999999999998,9.18949
68,9.727227003305913,10.578599999999998,8.84052
69,9.436705918189746,10.262599999999999,8.97456
70,8.940134032849615,9.722590000000002,8.92563
71,8.757984571113168,9.5245,8.75542
72,8.946643154742937,9.729669999999999,8.88945
73,9.21551750201111,10.0221,8.95542
74,9.558086525629983,10.394600000000002,9.15114
75,9.636191285506758,10.4796,9.3597
76,9.356495541076063,10.175400000000002,9.58731
77,9.330467874168617,10.147099999999998,9.36818
78,9.386841538851035,10.2084,9.44262
79,9.395483383486832,10.217800000000002,9.28945
80,9.334781265672701,10.1518,9.18311
81,9.013832445890213,9.80275,8.75542
82,8.506426174492823,9.250940000000002,8.31287
83,8.853401986485746,9.62828,8.55332
84,9.349981878566409,10.1683,8.69793
85,8.981294269788629,9.767360000000002,8.3597
86,8.627895204738808,9.383030000000002,8.78094
87,9.102755448312157,9.89945,8.50859
88,9.133098489148225,9.932449999999998,8.65538
89,9.044178509669571,9.835750000000003,8.60225
90,9.00953190666279,9.798060000000001,8.82566
91,9.063714718691555,9.856979999999998,8.6767
92,9.115760502693917,9.913610000000002,8.74694
93,9.347786700049356,10.1659,8.42559
94,9.35210080861821,10.170600000000002,8.53838
95,9.419314531732592,10.243700000000002,8.25756
96,9.12658802063014,9.925369999999997,9.63796
97,8.478983838694056,9.07907,8.94879
98,8.07892481929918,8.65069,9.08918
99,8.623207803931136,9.2335,9.57294
100,9.541255072050019,10.216499999999998,9.74454
101,9.584973724097837,10.263299999999997,9.65098
102,9.713933141741029,10.4014,10.093
103,9.875754351477767,10.574699999999998,9.89536
104,9.89758709362489,10.5981,9.84862
105,9.838584240323014,10.534899999999999,9.72117
106,9.558778768831605,10.235300000000002,9.53914
107,9.15222115132654,9.79996,9.3909
108,9.298683597515206,9.956790000000002,9.4949
109,9.237452794492159,9.891209999999997,10.1398
110,9.241838119842983,9.895920000000002,9.77058
111,9.530373239816397,10.2049,10.2803
112,9.692123073530366,10.3781,10.4416
113,9.534698779896287,10.209499999999998,10.4077
114,9.237452794492159,9.891209999999997,9.83819
115,9.412292598672861,10.0784,9.97866
116,9.456032537474748,10.125300000000001,10.1503
117,9.532545756620877,10.207199999999998,10.0098
118,9.425415731885026,10.0925,10.0904
119,9.44946863570473,10.118199999999998,9.79137
120,9.60249994343236,10.2821,9.67176
121,9.412292598672861,10.0784,9.45325
122,9.696528297382631,10.3828,9.67435
123,9.869207466736906,10.567699999999999,9.45066
124,9.313959175147996,9.97314,9.33106
125,9.222177611199756,9.874860000000002,9.34149
126,9.189406414149486,9.839760000000002,9.34408
127,8.927088126358047,9.55889,8.85385
128,8.648902758798656,9.641869999999999,8.83172
129,8.889490551780721,9.910079999999999,8.75798
