state,date,emission
Beijing,2020-01-31,44333.0
Beijing,2020-02-01,43065.793103448275
Beijing,2020-02-02,41798.58620689655
Beijing,2020-02-03,40531.379310344826
Beijing,2020-02-04,39264.1724137931
Beijing,2020-02-05,37996.96551724138
Beijing,2020-02-06,36729.75862068965
Beijing,2020-02-07,35462.55172413793
Beijing,2020-02-08,34195.3448275862
Beijing,2020-02-09,32928.13793103448
Beijing,2020-02-10,31660.931034482757
Beijing,2020-02-11,30393.724137931036
Beijing,2020-02-12,29126.51724137931
Beijing,2020-02-13,27859.310344827587
Beijing,2020-02-14,26592.103448275862
Beijing,2020-02-15,25324.896551724138
Beijing,2020-02-16,24057.689655172413
Beijing,2020-02-17,22790.48275862069
Beijing,2020-02-18,21523.275862068964
Beijing,2020-02-19,20256.06896551724
Beijing,2020-02-20,18988.862068965514
Beijing,2020-02-21,17721.655172413793
Beijing,2020-02-22,16454.44827586207
Beijing,2020-02-23,15187.241379310344
Beijing,2020-02-24,13920.03448275862
Beijing,2020-02-25,12652.827586206895
Beijing,2020-02-26,11385.620689655174
Beijing,2020-02-27,10118.41379310345
Beijing,2020-02-28,8851.206896551725
Beijing,2020-02-29,7584.0
Beijing,2020-03-01,7768.322580645161
Beijing,2020-03-02,7952.645161290323
Beijing,2020-03-03,8136.967741935484
Beijing,2020-03-04,8321.290322580646
Beijing,2020-03-05,8505.612903225807
Beijing,2020-03-06,8689.935483870968
Beijing,2020-03-07,8874.258064516129
Beijing,2020-03-08,9058.58064516129
Beijing,2020-03-09,9242.90322580645
Beijing,2020-03-10,9427.225806451614
Beijing,2020-03-11,9611.548387096775
Beijing,2020-03-12,9795.870967741936
Beijing,2020-03-13,9980.193548387097
Beijing,2020-03-14,10164.516129032258
Beijing,2020-03-15,10348.838709677419
Beijing,2020-03-16,10533.16129032258
Beijing,2020-03-17,10717.483870967742
Beijing,2020-03-18,10901.806451612903
Beijing,2020-03-19,11086.129032258064
Beijing,2020-03-20,11270.451612903225
Beijing,2020-03-21,11454.774193548386
Beijing,2020-03-22,11639.09677419355
Beijing,2020-03-23,11823.419354838708
Beijing,2020-03-24,12007.741935483871
Beijing,2020-03-25,12192.064516129032
Beijing,2020-03-26,12376.387096774193
Beijing,2020-03-27,12560.709677419354
Beijing,2020-03-28,12745.032258064515
Beijing,2020-03-29,12929.354838709678
Beijing,2020-03-30,13113.677419354837
Beijing,2020-03-31,13298.0
Beijing,2020-04-01,13613.9
Beijing,2020-04-02,13929.8
Beijing,2020-04-03,14245.7
Beijing,2020-04-04,14561.6
Beijing,2020-04-05,14877.5
Beijing,2020-04-06,15193.4
Beijing,2020-04-07,15509.3
Beijing,2020-04-08,15825.2
Beijing,2020-04-09,16141.1
Beijing,2020-04-10,16457.0
