date,time_weights
2020-04-14,-2.234166080732504e-06
2020-04-15,-2.2674993089579506e-06
2020-04-16,-2.3243699668775357e-06
2020-04-17,-2.2849063544336456e-06
2020-04-18,-2.2326453605341155e-06
2020-04-19,-2.2709816482538633e-06
2020-04-20,-2.3102655223875394e-06
2020-04-21,-2.2580733754526782e-06
2020-04-22,-2.254894680514332e-06
2020-04-23,-2.2642632832902748e-06
2020-04-24,-2.2679666244812763e-06
2020-04-25,-2.2621999297745995e-06
2020-04-26,-2.256712712739034e-06
2020-04-27,-2.2328570005192e-06
2020-04-28,-2.2324180502303896e-06
2020-04-29,-2.2252999749665538e-06
2020-04-30,-2.2555696640941402e-06
2020-05-01,-1.8864788507714344e-06
2020-05-02,-1.929391201684523e-06
2020-05-03,-1.8718387360026202e-06
2020-05-04,-1.7874878528492613e-06
2020-05-05,-1.7838208588517804e-06
2020-05-06,-1.7731357017151516e-06
2020-05-07,-1.7600708838794475e-06
2020-05-08,-1.758334797570654e-06
2020-05-09,-1.7630396416929276e-06
2020-05-10,-1.7860222804813363e-06
2020-05-11,-1.8214980369088347e-06
2020-05-12,-1.8084165541295662e-06
2020-05-13,-1.8138360964335157e-06
2020-05-14,-1.8134444211260704e-06
2020-05-15,-1.7884156805539987e-06
2020-05-16,-1.7749348178588323e-06
2020-05-17,-1.7880465022626854e-06
2020-05-18,-1.8138357655840207e-06
2020-05-19,-1.7985011529617061e-06
2020-05-20,-1.7947434832037902e-06
2020-05-21,-1.7882270867078892e-06
2020-05-22,-1.7973696368453157e-06
2020-05-23,-1.7953007865810994e-06
2020-05-24,-1.782358152040582e-06
2020-05-25,-1.7985014145369825e-06
2020-05-26,-1.7745716696495154e-06
2020-05-27,-1.7605992963840804e-06
2020-05-28,-1.807067805543234e-06
2020-05-29,-1.8152064716662817e-06
2020-05-30,-1.818140884217894e-06
2020-05-31,-1.842307259036149e-06
2020-06-01,0.09483925999343668
2020-06-02,0.09411496568590229
2020-06-03,0.09222660871226597
2020-06-04,0.09162247439510542
2020-06-05,0.09124538877908797
2020-06-06,0.08853869639294432
2020-06-07,0.09076943815532858
2020-06-08,0.09007428831435861
2020-06-09,0.08967637751654878
2020-06-10,0.0886837054197355
2020-06-11,0.08830313136684984
