date,time_weights
2021-09-24,-5.1290656371050114e-05
2021-09-25,-5.156110128700089e-05
2021-09-26,-5.1921139688240236e-05
2021-09-27,-5.177224232175728e-05
2021-09-28,-5.185120609928011e-05
2021-09-29,-5.171226303637005e-05
2021-09-30,-5.2085838393387755e-05
2021-10-01,-3.69726776692721e-05
2021-10-02,-3.7225812607909324e-05
2021-10-03,-3.7506502402776414e-05
2021-10-04,-3.748918830573843e-05
2021-10-05,-3.710500089854201e-05
2021-10-06,-3.6923443381423046e-05
2021-10-07,-3.670048444820338e-05
2021-10-08,-3.693655606472688e-05
2021-10-09,-3.7195522134727685e-05
2021-10-10,-3.753423053924237e-05
2021-10-11,-3.748918833018764e-05
2021-10-12,-3.7685418318711765e-05
2021-10-13,-3.747186778861175e-05
2021-10-14,-3.728342566123016e-05
2021-10-15,-3.709502036811995e-05
2021-10-16,-3.7320695196953086e-05
2021-10-17,-3.7551829264296344e-05
2021-10-18,-3.755182926427989e-05
2021-10-19,-3.750321417183527e-05
2021-10-20,-3.688763145273965e-05
2021-10-21,-3.6659184691678566e-05
2021-10-22,-3.6855088978618085e-05
2021-10-23,-3.692344107460934e-05
2021-10-24,-3.6930089877135106e-05
2021-10-25,-3.705187583378396e-05
2021-10-26,-3.699571254753211e-05
2021-10-27,-3.6774289001045714e-05
2021-10-28,-3.639886075823208e-05
2021-10-29,-3.6429849971311006e-05
2021-10-30,-3.639886092929673e-05
2021-10-31,-3.6312731027419887e-05
2021-11-01,0.3356941673846528
2021-11-02,0.32833613260480743
2021-11-03,0.33748099870752285
