date,time_weights
2020-10-19,1.605938241259402e-08
2020-10-20,0.0020482135318070104
2020-10-21,0.00042737833262417973
2020-10-22,0.001208063887839643
2020-10-23,1.6022317993798086e-08
2020-10-24,0.0014710369271191599
2020-10-25,1.591189129422927e-08
2020-10-26,1.5876391532594817e-08
2020-10-27,0.004881951271632538
2020-10-28,0.00010619451466019594
2020-10-29,1.5503344123399664e-08
2020-10-30,1.5322474748922135e-08
2020-10-31,1.559826968865323e-08
2020-11-01,-3.2170486877407516e-05
2020-11-02,-3.197407092913692e-05
2020-11-03,-3.201596591524606e-05
2020-11-04,-3.2022052105727596e-05
2020-11-05,-3.1692616208745706e-05
2020-11-06,-3.168674187797013e-05
2020-11-07,-3.172994329057491e-05
2020-11-08,-3.173590643379864e-05
2020-11-09,-3.183196389956966e-05
2020-11-10,-3.1512739899311476e-05
2020-11-11,-3.1340037603041545e-05
2020-11-12,-3.136757648441346e-05
2020-11-13,-3.0907570599554376e-05
2020-11-14,-3.0899693688378966e-05
2020-11-15,-3.094960791093256e-05
2020-11-16,-3.10819791758664e-05
2020-11-17,-3.101543144199699e-05
2020-11-18,-3.0742048671718584e-05
2020-11-19,-3.0806307091920506e-05
2020-11-20,-3.038706577983878e-05
2020-11-21,-3.0092146604850278e-05
2020-11-22,-2.9858171595898136e-05
2020-11-23,-3.0052329641727363e-05
2020-11-24,-2.9576346902003057e-05
2020-11-25,-2.9178950152415142e-05
2020-11-26,-2.9028867362026783e-05
2020-11-27,-2.891367413552448e-05
2020-11-28,-2.898413963369072e-05
2020-11-29,-2.877265454862077e-05
2020-11-30,-2.8939746307185103e-05
2020-12-01,-3.37924216516085e-05
2020-12-02,-3.364796046213152e-05
2020-12-03,-3.3454959079767714e-05
2020-12-04,-3.340690887414971e-05
2020-12-05,-3.325965629838621e-05
2020-12-06,-3.336602541341397e-05
2020-12-07,-3.305785889264996e-05
2020-12-08,-3.3185945572046615e-05
2020-12-09,-3.303611459455069e-05
2020-12-10,-3.333644405902949e-05
2020-12-11,-3.2929736103452284e-05
2020-12-12,-3.291670764848989e-05
2020-12-13,-3.303393679452165e-05
2020-12-14,-3.2775830314405004e-05
2020-12-15,-3.250299381780209e-05
2020-12-16,-3.2725122368758866e-05
2020-12-17,-3.271677665181299e-05
2020-12-18,-3.281186101918861e-05
2020-12-19,-3.280547472451072e-05
2020-12-20,-3.27567460090349e-05
2020-12-21,-3.2655987891917614e-05
2020-12-22,-3.263718295116628e-05
2020-12-23,-3.272309136979705e-05
2020-12-24,-3.27315585144998e-05
2020-12-25,-3.28203530892398e-05
2020-12-26,-3.28652124676821e-05
2020-12-27,-3.278852667053473e-05
2020-12-28,-3.25378626644769e-05
2020-12-29,-3.2604022059982674e-05
2020-12-30,-3.250299381780209e-05
2020-12-31,-3.2672730198885605e-05
2021-01-01,0.4917312462334959
2021-01-02,0.5000681359393189
