date,state,total,avg,intensity,coal_co2,coke_co2,gasoline_co2,kerosene_co2,diesel_co2,fuel_co2,gas_co2
2001,陕西省,9381.296,2.5639,4.666,5961.1591,366.6938,228.9072,56.1275,374.3628,289.752,234.6752
2001,甘肃省,8859.975,3.4408,7.873,4853.7877,505.9652,304.4677,16.0364,312.4598,158.9055,25.7623
2001,青海省,1720.504,3.2897,5.733,1221.5334,49.9464,51.5744,,57.6253,15.4086,126.6467
2001,新疆维吾尔自治区,10422.356,5.5556,6.987,5201.9818,209.122,252.8932,72.0728,516.5197,164.9928,749.9214
2002,北京市,10063.409,7.072,2.324,4815.7337,1082.5542,445.1624,440.394,337.8782,225.1055,454.629
2002,天津市,9361.252,9.2962,4.353,5573.0083,428.1244,277.5236,47.4714,569.7742,282.1111,140.2855
2002,河北省,34755.707,5.1605,5.775,26141.1953,5177.9885,431.7197,8.5953,525.4781,193.6541,167.5633
2002,山西省,43008.713,13.0567,18.5,34353.2485,7908.889,261.3279,20.2278,394.6975,28.7564,41.5661
2002,内蒙古自治区,15234.553,6.4038,7.849,13060.1328,1127.1738,232.3923,4.7988,300.2776,123.8397,4.7628
2002,辽宁省,36316.084,8.6405,6.654,17799.7585,2998.1596,691.4661,61.564,846.9894,753.2474,407.2177
2002,吉林省,12362.59,4.5804,5.264,8874.1928,548.7805,284.0546,11.8147,265.0019,101.5511,65.38
2002,黑龙江省,18292.736,4.7975,5.029,10546.6661,228.4533,757.274,32.2247,1250.4283,243.3993,437.7428
2002,上海市,18703.907,11.5101,3.258,9013.0899,1951.0032,561.5197,314.7147,813.1705,1647.7406,93.7402
2002,江苏省,26437.202,3.5818,2.493,18385.7901,1142.467,859.2513,19.8025,1175.6921,575.5092,21.8655
2002,浙江省,19533.712,4.2035,2.441,12548.3065,359.5913,677.8183,28.4586,1556.5646,610.0676,
2002,安徽省,16090.918,2.5388,4.572,12708.1333,1592.9012,216.4309,8.2004,483.2278,150.6622,
2002,福建省,7858.426,2.2673,1.759,5158.2197,272.4142,388.8142,16.0972,775.353,237.0583,
2002,江西省,7410.226,1.7551,3.024,4865.2039,748.5948,240.7099,2.4905,507.9642,146.3186,
2002,山东省,33104.939,3.6451,3.222,24617.1326,1189.7213,517.882,127.4713,770.9823,857.7471,100.2349
2002,河南省,24341.714,2.5322,4.033,19660.5991,1447.6155,349.9797,40.334,484.4057,222.6959,316.7249
2002,湖北省,17562.121,2.9329,4.169,12335.2041,1535.5086,681.7428,53.0599,955.6063,180.7185,19.7006
2002,湖南省,11710.729,1.7666,2.821,8156.8749,1005.6012,394.2909,26.5451,565.2795,138.0753,
2002,广东省,26707.642,3.3984,1.978,12651.0523,512.9531,1009.1714,313.2872,2629.0024,3659.3594,
2002,广西壮族自治区,5765.699,1.1957,2.285,4058.4591,507.3399,247.0944,33.9255,664.8451,41.6287,
2002,海南省,,,,,,,,,,
2002,重庆市,7386.059,2.3772,3.712,5808.9431,543.3391,191.5663,25.9073,213.6072,10.2724,591.6672
2002,四川省,14952.714,1.7241,3.165,10392.5474,1549.9427,502.1842,170.478,608.8937,39.3776,1514.564
2002,贵州省,11137.781,2.9027,8.957,9892.1373,671.2982,147.8408,6.9552,276.5952,24.3177,118.6365
2002,云南省,9493.769,2.191,4.105,6766.0012,1690.1019,285.8411,57.5549,555.9491,27.0444,111.2759
2002,陕西省,10704.317,2.9135,4.75,6566.2177,503.8746,278.2265,85.1327,456.8485,381.0624,303.3025
2002,甘肃省,9338.198,3.6013,7.58,5323.7546,508.0559,285.1675,16.0972,220.6128,96.3515,59.7512
2002,青海省,1781.902,3.3684,5.231,1179.674,51.2065,47.1521,,57.7803,13.3161,243.9842
2002,宁夏回族自治区,,1.0595,1.607,,,,,,,
2002,新疆维吾尔自治区,10849.808,5.6954,6.728,5514.0246,237.8755,253.9183,50.4479,525.5711,108.4628,748.4059
