date,用电量:黑龙江:当月值,用电量:青海:当月值,用电量:陕西:当月值,用电量:重庆:当月值,用电量:辽宁:当月值,用电量:贵州:当月值,用电量:福建:当月值,用电量:甘肃:当月值,用电量:湖南:当月值,用电量:湖北:当月值,用电量:海南:当月值,用电量:浙江:当月值,用电量:河南:当月值,用电量:河北:当月值,用电量:江西:当月值,用电量:江苏:当月值,用电量:新疆:当月值,用电量:广西:当月值,用电量:广东:当月值,用电量:山西:当月值,用电量:山东:当月值,用电量:安徽:当月值,用电量:宁夏:当月值,用电量:天津:当月值,用电量:四川:当月值,用电量:吉林:当月值,用电量:北京:当月值,用电量:内蒙:当月值,用电量:云南:当月值,用电量:上海:当月值
01/11/2019,910000,640000,1470000,930000,2100000,1330000,1930000,1190000,1490000,1680000,270000,3850000,2480000,3180000,1230000,5020000,2000000,1630000,5250000,1950000,5190000,1810000,890000,760000,2200000,710000,1010000,3150000,1660000,1140000
01/12/2019,1000000,640000,1670000,1070000,2310000,1750000,2020000,1220000,1790000,1970000,280000,4360000,2920000,3830000,1420000,5660000,7450000,1810000,5310000,2160000,5680000,2100000,920000,860000,2300000,790000,1250000,3320000,1720000,1430000
01/01/2020,940000,640000,1540000,930000,2120000,1330000,1600000,1190000,1610000,1840000,250000,3040000,2980000,3260000,1210000,4880000,2090000,1500000,3820000,2010000,4960000,2050000,910000,750000,2320000,740000,1180000,3330000,1660000,1320000
01/02/2020,780000,580000,1160000,670000,1810000,1070000,1290000,990000,1330000,1040000,200000,1980000,2020000,2400000,840000,3240000,1910000,1210000,2910000,1630000,4020000,1370000,770000,550000,1780000,620000,930000,2790000,1050000,990000
01/03/2020,830000,570000,1370000,860000,1990000,1310000,1740000,1040000,1320000,1220000,250000,3660000,2510000,2930000,1180000,4810000,2020000,1400000,4830000,1830000,4840000,1770000,850000,660000,1910000,660000,850000,3060000,1470000,1150000
01/04/2020,810000,590000,1290000,880000,1880000,1240000,1870000,1090000,1420000,1520000,270000,3720000,2500000,2970000,1200000,4770000,1960000,1490000,5000000,1830000,5010000,1760000,810000,640000,2130000,620000,690000,3080000,1520000,1080000
01/05/2020,790000,580000,1310000,920000,1870000,1300000,2020000,1100000,1400000,1730000,350000,3870000,2750000,3100000,1310000,5020000,1920000,1750000,6290000,1830000,5150000,1920000,790000,650000,2220000,610000,750000,3180000,1550000,1170000
01/06/2020,750000,590000,1350000,980000,1870000,1320000,2350000,1130000,1620000,1880000,360000,4350000,3010000,3420000,1420000,5400000,2080000,1760000,6790000,1890000,5410000,2040000,800000,720000,2450000,610000,940000,3190000,1620000,1340000
01/07/2020,830000,600000,1470000,1110000,2080000,1160000,2650000,1180000,1720000,1990000,380000,4840000,3120000,3490000,1610000,5790000,2060000,1940000,7860000,1970000,5560000,2100000,890000,820000,2590000,690000,1020000,3410000,1720000,1530000
01/08/2020,810000,620000,1560000,1390000,2080000,1260000,2590000,1190000,2000000,2460000,340000,5460000,3480000,3620000,1740000,7030000,2010000,1900000,7260000,1990000,6080000,2670000,920000,850000,2760000,650000,1060000,3380000,1850000,1880000
01/09/2020,760000,640000,1430000,1010000,1920000,1240000,2280000,1100000,1780000,1900000,340000,4410000,2910000,3260000,1380000,5680000,1940000,1810000,6940000,1920000,5510000,2120000,890000,720000,2700000,620000,850000,3170000,1850000,1380000
01/10/2020,860000,620000,1470000,990000,2020000,1290000,2150000,1170000,1410000,1750000,290000,4150000,2660000,3250000,1330000,5240000,2040000,1700000,5860000,1990000,5400000,1970000,910000,690000,2480000,670000,790000,3330000,1980000,1180000
01/11/2020,960000,690000,1740000,980000,2180000,1410000,2060000,1270000,1630000,1850000,280000,4190000,2760000,3560000,1380000,5440000,2190000,1780000,5760000,2120000,5660000,2050000,950000,770000,2560000,740000,1010000,3450000,1950000,1200000
01/12/2020,1020000,690000,1720000,1140000,2420000,1850000,2220000,1330000,2060000,2250000,290000,4640000,3220000,4080000,1680000,6440000,7750000,2000000,5930000,2400000,11690000,2480000,960000,930000,2760000,820000,1340000,3610000,2050000,1540000
01/01/2021,1040000,740000,1920000,1230000,2420000,1710000,2200000,1300000,1900000,2190000,290000,4660000,3510000,3900000,1590000,6450000,2270000,1900000,5750000,2430000,6710000,2500000,1010000,930000,2900000,810000,1370000,3660000,2250000,1630000
01/02/2021,850000,690000,1400000,830000,1930000,1240000,1490000,1060000,1450000,1480000,240000,2560000,2420000,2810000,1050000,4180000,2200000,1420000,3560000,1860000,5000000,1690000,880000,730000,2250000,660000,980000,3170000,1360000,1130000
01/03/2021,910000,670000,1610000,1000000,2230000,1490000,2150000,1250000,1640000,1940000,300000,4470000,2920000,3580000,1500000,5840000,2290000,1800000,5960000,2160000,6230000,2150000,970000,830000,2280000,720000,1000000,3140000,1830000,1360000
01/04/2021,860000,710000,1470000,970000,2010000,1380000,2170000,1210000,1600000,1830000,320000,4340000,2700000,3380000,1390000,5490000,2210000,1710000,6130000,2030000,5900000,1980000,970000,720000,2480000,660000,770000,3160000,1800000,1200000
01/05/2021,870000,710000,1520000,1020000,2080000,1410000,2460000,1230000,1580000,1920000,410000,4530000,2860000,3420000,1460000,5700000,2250000,1950000,7620000,2080000,5950000,2070000,990000,750000,2510000,670000,830000,3350000,1700000,1280000
01/06/2021,840000,660000,1670000,1130000,2060000,1460000,2540000,1250000,1840000,2190000,390000,4780000,3440000,3540000,1620000,6190000,2200000,2010000,7410000,2070000,6120000,2360000,980000,790000,2700000,620000,970000,3230000,1780000,1430000
01/07/2021,910000,700000,1810000,1340000,2270000,1380000,2940000,1280000,2130000,2470000,400000,5630000,3560000,3860000,1860000,7040000,2320000,2160000,8230000,2180000,6740000,2620000,1010000,930000,3090000,710000,1150000,3380000,1610000,1820000
01/08/2021,860000,710000,1740000,1340000,2180000,1440000,2800000,1280000,2040000,2340000,390000,5620000,3260000,3760000,1800000,6910000,2350000,2070000,7860000,2240000,6580000,2620000,1040000,870000,3210000,650000,1090000,3290000,1820000,1830000
01/09/2021,810000,760000,1430000,1190000,1990000,1370000,2730000,1180000,1930000,2240000,350000,5120000,2870000,3430000,1750000,5790000,2170000,1940000,7720000,2030000,5820000,2370000,940000,750000,2790000,610000,910000,3000000,1790000,1610000
01/10/2021,920000,700000,1500000,1160000,1970000,1370000,2350000,1270000,1740000,2010000,330000,4300000,2820000,3360000,1530000,5450000,2340000,1790000,6440000,2170000,5810000,2200000,890000,740000,2830000,690000,870000,3260000,1760000,1380000
01/11/2021,960000,780000,1670000,1080000,2190000,1500000,2210000,1310000,1640000,1920000,320000,4370000,2830000,3700000,1460000,5650000,2300000,1730000,5910000,2300000,6230000,2150000,940000,840000,2860000,760000,1100000,3350000,1730000,1290000
01/12/2021,1060000,750000,1940000,1130000,2440000,1700000,2330000,1340000,2050000,2200000,310000,4760000,3280000,4180000,1630000,6320000,10370000,1880000,6070000,2520000,6760000,2430000,960000,950000,2850000,860000,1300000,3580000,1970000,1540000
01/01/2022,1110000,770000,2000000,1140000,2420000,1720000,2090000,1280000,1940000,2250000,310000,4310000,3500000,4050000,1600000,6170000,2840000,1770000,5060000,2520000,6600000,2550000,960000,890000,2860000,860000,1360000,3610000,2110000,1580000
01/02/2022,930000,690000,1880000,1000000,2030000,1470000,1850000,1140000,1620000,1970000,280000,3760000,2870000,3150000,1490000,5300000,2690000,1600000,4530000,2100000,5510000,2250000,960000,750000,2640000,740000,1120000,3180000,1350000,1400000
01/03/2022,980000,780000,1970000,1080000,2220000,1470000,2280000,1230000,1910000,2040000,330000,4750000,2980000,3570000,1570000,5850000,2710000,1700000,6190000,2270000,6310000,2280000,1080000,820000,2510000,710000,1050000,3450000,2000000,1280000
01/04/2022,880000,750000,1760000,980000,1860000,1380000,2210000,1190000,1570000,1890000,320000,4310000,2730000,3140000,1450000,4880000,2790000,1690000,6120000,2100000,5690000,2010000,1030000,700000,2680000,580000,800000,3250000,1880000,930000
01/05/2022,880000,770000,1820000,1030000,2000000,1410000,2310000,1240000,1570000,1990000,350000,4380000,2900000,3490000,1470000,5470000,2880000,1730000,6460000,2200000,6060000,2190000,1130000,750000,2670000,650000,830000,3440000,1970000,1030000
01/06/2022,870000,750000,2040000,1170000,2010000,1360000,2540000,1260000,1890000,2340000,410000,4850000,3950000,3810000,1610000,6510000,3010000,2010000,7200000,2270000,6580000,2620000,1080000,830000,2960000,630000,1010000,3400000,1980000,1470000
01/07/2022,930000,770000,2120000,1570000,2170000,1410000,2990000,1270000,2300000,2780000,420000,6250000,3870000,3960000,2020000,7700000,3130000,2090000,8330000,2310000,6680000,3090000,1080000,950000,3450000,700000,1210000,3560000,2030000,2010000
01/08/2022,890000,750000,2270000,1710000,2130000,1450000,3070000,1260000,2480000,2990000,360000,6280000,4230000,3920000,2140000,8000000,2960000,2070000,8000000,2330000,7140000,3290000,1040000,930000,3650000,680000,1180000,3560000,2240000,2090000
01/09/2022,840000,740000,1760000,1100000,1940000,1260000,2670000,1190000,1800000,2100000,360000,4830000,3060000,3460000,1620000,5980000,2570000,2100000,7840000,2140000,6090000,2360000,960000,780000,2660000,640000,940000,3440000,2130000,1450000
01/10/2022,960000,820000,1870000,1060000,2070000,1350000,2420000,1260000,1660000,1960000,340000,4640000,2770000,3300000,1580000,5780000,2610000,1820000,6650000,2120000,5910000,2320000,1010000,740000,2670000,710000,890000,3600000,2040000,1300000
01/11/2022,1010000,800000,1980000,980000,2200000,1430000,2240000,1300000,1580000,1890000,340000,4490000,2750000,3380000,1520000,5730000,2850000,1730000,6150000,2210000,6120000,2250000,1020000,810000,2790000,760000,1040000,3600000,1900000,1280000
31/12/2022,1120000,830000,2310000,1210000,2450000,1730000,2330000,1390000,2030000,2290000,340000,5130000,3480000,4210000,1760000,6620000,3300000,1860000,6170000,2630000,6900000,2710000,1160000,960000,2920000,860000,1370000,3910000,2110000,1650000
