date,time_weights
2022-01-26,-5.843590011841184e-22
2022-01-27,-5.787426470021066e-22
2022-01-28,-6.1478065523507e-22
2022-01-29,-6.089581844539814e-22
2022-01-30,-6.250241784072865e-22
2022-01-31,-6.456256922881967e-22
2022-02-01,-7.174022314971761e-22
2022-02-02,-6.85833882474404e-22
2022-02-03,-6.820039953229779e-22
2022-02-04,-7.111278000512642e-22
2022-02-05,-7.066563408661023e-22
2022-02-06,-6.7242157675966295e-22
2022-02-07,-6.681679110735165e-22
2022-02-08,-6.985033227197567e-22
2022-02-09,-6.635498758556685e-22
2022-02-10,-6.719730794625075e-22
2022-02-11,-6.4713716660813775e-22
2022-02-12,-6.663981060833457e-22
2022-02-13,-6.504349863209258e-22
2022-02-14,-6.561633816066462e-22
2022-02-15,-6.824424702798602e-22
2022-02-16,-6.635200495247324e-22
2022-02-17,-6.671923598714238e-22
2022-02-18,-6.7307023829749255e-22
2022-02-19,-6.314152740084605e-22
2022-02-20,-6.65272629377805e-22
2022-02-21,-6.213883218598797e-22
2022-02-22,-6.435840723963899e-22
2022-02-23,-6.691129090712752e-22
2022-02-24,-5.607145728793819e-22
2022-02-25,-6.227716270107287e-22
2022-02-26,-6.534471667953367e-22
2022-02-27,-6.417396592147331e-22
2022-02-28,-6.796581254313268e-22
2022-03-01,0.9999999999999998
