date,time_weights
2019-11-16,0.005103503836187775
2019-11-17,0.002991515542449101
2019-11-18,0.005528252368132662
2019-11-19,0.0006348903062297318
2019-11-20,0.006374064997325836
2019-11-21,0.0051700233677454
2019-11-22,0.002830595505003516
2019-11-23,0.002031672518229257
2019-11-24,0.00416674416298238
2019-11-25,0.0038081662454387444
2019-11-26,0.0025389880305212
2019-11-27,0.0019945582634104822
2019-11-28,1.7702458469813222e-08
2019-11-29,0.004926908392702125
2019-11-30,0.003504567661853589
2019-12-01,-1.986419708792474e-05
2019-12-02,-2.0171353786643428e-05
2019-12-03,-2.025295970766318e-05
2019-12-04,-2.017763473539039e-05
2019-12-05,-2.0023977560658606e-05
2019-12-06,-1.9830776183785747e-05
2019-12-07,-1.975690589877835e-05
2019-12-08,-1.9716511011958486e-05
2019-12-09,-1.9828954711615507e-05
2019-12-10,-1.948910644465075e-05
2019-12-11,-1.9598730157461448e-05
2019-12-12,-1.9634617242303963e-05
2019-12-13,-1.9513074527494674e-05
2019-12-14,-1.9338195878972422e-05
2019-12-15,-1.9419442803204766e-05
2019-12-16,-1.9619567381226698e-05
2019-12-17,-1.9401279883865432e-05
2019-12-18,-1.949460326231883e-05
2019-12-19,-1.914796074541116e-05
2019-12-20,-1.8951733146483822e-05
2019-12-21,-1.9106530314862746e-05
2019-12-22,-1.9087665427703216e-05
2019-12-23,-1.9151373586463743e-05
2019-12-24,-1.9144516884239825e-05
2019-12-25,-1.9028010144911693e-05
2019-12-26,-1.9017874425667214e-05
2019-12-27,-1.9056888383572583e-05
2019-12-28,-1.913929053772848e-05
2019-12-29,-1.9347182592172213e-05
2019-12-30,-1.906539595546834e-05
2019-12-31,-1.8999261570058414e-05
2020-01-01,0.0421610330196794
2020-01-02,0.04160422422132819
2020-01-03,0.04156463891370461
2020-01-04,0.04251628376007127
2020-01-05,0.04071879677719878
2020-01-06,0.04071879677719878
2020-01-07,0.041109243710023315
2020-01-08,0.04258745512229714
2020-01-09,0.04373538366642587
2020-01-10,0.04150322410033185
2020-01-11,0.042094647361265065
2020-01-12,0.04193445290318099
2020-01-13,0.04315429831918491
2020-01-14,0.04457353611897093
2020-01-15,0.04399647585780425
2020-01-16,0.04171620631384187
2020-01-17,0.044079421005686396
2020-01-18,0.04312652294057693
2020-01-19,0.04452220009570818
2020-01-20,0.04531589494216185
2020-01-21,0.0487525149332071
2020-01-22,0.04751366509016336
