date,time_weights
2022-01-29,-2.4072773338404418e-05
2022-01-30,-2.4729233719302893e-05
2022-01-31,-2.4838104776452395e-05
2022-02-01,-2.7560659341113483e-05
2022-02-02,-2.771024556255474e-05
2022-02-03,-2.7668578709956577e-05
2022-02-04,-2.7872731873226092e-05
2022-02-05,-2.7905544911755747e-05
2022-02-06,-2.7441491802004815e-05
2022-02-07,-2.690003601307788e-05
2022-02-08,-2.658644127917757e-05
2022-02-09,-2.6447863085112114e-05
2022-02-10,-2.6489233349969376e-05
2022-02-11,-2.6322635504178117e-05
2022-02-12,-2.606246600101876e-05
2022-02-13,-2.6167517595932262e-05
2022-02-14,-2.611737890119771e-05
2022-02-15,-2.5981906197373804e-05
2022-02-16,-2.5884393490936874e-05
2022-02-17,-2.554280162445955e-05
2022-02-18,-2.5185963877506348e-05
2022-02-19,-2.499824609944638e-05
2022-02-20,-2.512586253242279e-05
2022-02-21,-2.4784461718074254e-05
2022-02-22,-2.4568197958881996e-05
2022-02-23,-2.4441412569571956e-05
2022-02-24,-2.464748067228458e-05
2022-02-25,-2.5052612816384867e-05
2022-02-26,-2.5331399492454988e-05
2022-02-27,-2.587675335520039e-05
2022-02-28,-2.5773015359885925e-05
2022-03-01,0.09926798917108555
2022-03-02,0.09630225809994081
2022-03-03,0.1047913604777099
2022-03-04,0.09801590924776007
2022-03-05,0.10218570760306706
2022-03-06,0.09953872341232636
2022-03-07,0.09914359250995072
2022-03-08,0.10387431777566768
2022-03-09,0.09556257820482084
2022-03-10,0.10212164479726554
