date,time_weights
2022-04-03,-4.913434402197793e-05
2022-04-04,-4.9468495180464e-05
2022-04-05,-5.0464471976486184e-05
2022-04-06,-5.01883117315639e-05
2022-04-07,-4.9239350907979636e-05
2022-04-08,-4.972038827099401e-05
2022-04-09,-5.039887597318504e-05
2022-04-10,-5.0168485571287956e-05
2022-04-11,-5.02986497449948e-05
2022-04-12,-4.9787693625067406e-05
2022-04-13,-4.950191196614301e-05
2022-04-14,-4.931444964782364e-05
2022-04-15,-4.985986953391286e-05
2022-04-16,-5.042368486485005e-05
2022-04-17,-5.028843113662357e-05
2022-04-18,-4.986980085742548e-05
2022-04-19,-4.9923661220042406e-05
2022-04-20,-5.056096843491903e-05
2022-04-21,-5.1488928789997026e-05
2022-04-22,-5.170298288613913e-05
2022-04-23,-5.1914524296152166e-05
2022-04-24,-5.14889247978895e-05
2022-04-25,-5.073041639488477e-05
2022-04-26,-5.1027123520610574e-05
2022-04-27,-5.117591636337308e-05
2022-04-28,-5.044424838113209e-05
2022-04-29,-5.0268293412432846e-05
2022-04-30,-5.088074675083134e-05
2022-05-01,0.18978651436965735
2022-05-02,0.16351056195901104
2022-05-03,0.1522914805729911
2022-05-04,0.14592874280831802
2022-05-05,0.16782097822511866
2022-05-06,0.1820717244732232
