date,state,gdp,gdp_1st,gdp_2nd,gdp_3rd,avg_gdp,pop
2001,Anhui,3246.7146,750.07,1415.32,1124.74,5220.7712,6328.0
2002,Anhui,3519.7195,772.55,1552.21,1244.34,5817.0,6338.0
2003,Anhui,3923.1,732.81,1780.6,1458.97,6455.0,6410.0
2004,Anhui,4759.32,932.42,2169.82,1710.44,7768.0,6461.0
2005,Anhui,5350.17,966.49,2221.17,2187.46,8675.1448,6120.0
2006,Anhui,6112.5,1028.66,2648.13,2471.94,10055.0,6110.0
2007,Anhui,7360.92,1200.18,3289.12,2874.88,12045.0,6118.0
2008,Anhui,8851.66,1418.08,4137.35,3318.74,14485.0,6135.0
2009,Anhui,10062.82,1495.45,4905.22,3662.15,16408.0,6131.0
2010,Anhui,12359.33,1729.02,6436.62,4193.68,20888.0,5956.7096
2011,Anhui,15300.65,2015.31,8309.38,4975.95,25659.0,5968.0
2012,Anhui,17212.0506,2178.73,9404.84,5628.48,28792.0,5988.0
2013,Anhui,19229.3371,2348.09,10403.96,6286.82,32000.8938,6029.8
2014,Anhui,20848.7476,2392.3905,11077.675,7378.6821,34424.6122,6082.9
2015,Anhui,22005.63,2456.69,10946.8273,8602.1127,35996.5641,6143.6
2016,Anhui,24407.62,2567.72,11821.58,10018.32,39561.0,6196.0
2017,Anhui,27018.0,2582.2659,12838.2785,11597.4508,43401.3638,6255.0
2018,Anhui,30006.82,2638.01,13842.09,13526.72,47711.6644,6324.0
2019,Anhui,37113.98,2915.7,15337.9,18860.38,58495.57,6366.0
2001,Beijing,3710.52,93.08,1030.6,1721.97,25523.0,1383.0
2002,Beijing,4330.4,98.05,1116.53,1998.13,28449.0,1423.0
2003,Beijing,5023.77,95.64,1311.86,2255.6,32061.0,1456.4
2004,Beijing,6060.28,102.9,1610.37,2570.04,37058.0,1493.0
2005,Beijing,6969.52,97.99,2026.51,4761.81,45443.6929,1538.0
2006,Beijing,8117.78,98.04,2191.43,5580.81,50467.0,1581.0
2007,Beijing,9846.81,101.26,2509.4,6742.66,58204.0,1633.0
2008,Beijing,11115.0,112.81,2693.15,7682.07,63029.0,1695.0
2009,Beijing,12153.03,118.29,2855.55,9179.19,70452.0,1755.0
2010,Beijing,14113.58,124.36,3388.38,10600.84,73856.0,1961.9
2011,Beijing,16251.93,136.27,3752.48,12363.18,81658.0,2018.6
2012,Beijing,17879.4,150.2,4059.27,13669.93,87475.0,2069.3
2013,Beijing,19800.81,161.83,4352.3,14986.43,94647.8813,2114.8
2014,Beijing,21330.83,158.99,4544.8,16627.04,99995.0,2151.6
2015,Beijing,23014.59,140.21,4542.64,18331.74,106497.0,2170.5
2016,Beijing,25669.13,129.79,4944.44,20594.9,118198.0,2173.0
2017,Beijing,28014.94,120.42,5326.76,22567.76,128994.1063,2170.7
2018,Beijing,30319.98,118.69,5647.65,24553.64,140211.2419,2154.0
2019,Beijing,35371.28,113.69,5715.06,29542.53,164220.0,2154.0
2001,Chongqing,1765.68,293.03,727.66,729.08,5654.0,3097.0
2002,Chongqing,1990.01,315.78,827.55,827.97,6347.0,3107.0
2003,Chongqing,2272.82,336.36,977.3,936.9,7209.0,3130.0
2004,Chongqing,2692.81,431.32,1181.24,1052.83,9608.0,3122.0
2005,Chongqing,3467.72,463.4,1259.12,1347.97,10982.0,2798.0
2006,Chongqing,3907.23,425.81,1500.97,1564.79,12457.0,2808.0
2007,Chongqing,4676.13,482.39,1892.1,1748.02,14660.0,2816.0
2008,Chongqing,5793.66,575.4,2433.27,2087.99,18025.0,2839.0
2009,Chongqing,6530.01,606.8,3448.77,2474.44,22920.0,2859.0
2010,Chongqing,7925.58,685.38,4359.12,2881.08,27596.0,2884.62
2011,Chongqing,10011.37,844.52,5543.04,3623.81,34500.0,2919.0
2012,Chongqing,11409.6,940.01,5975.18,4494.41,38914.0,2945.0
2013,Chongqing,12783.26,1016.74,6397.92,5242.03,43223.0,2970.0
2014,Chongqing,14262.6,1061.03,6529.06,6672.51,47850.0,2991.4
2015,Chongqing,15717.27,1150.15,7069.37,7497.75,52321.0,3016.55
2016,Chongqing,17740.59,1303.24,7898.92,8538.43,58502.0,3048.0
2017,Chongqing,19424.73,1276.09,8584.61,9564.03,63442.0,3075.16
2018,Chongqing,20363.19,1378.2747,8328.79,10656.1253,65932.7242,3102.0
2019,Chongqing,23605.77,1551.42,9496.84,12557.51,75828.0,3124.0
2001,Fujian,4072.85,651.11,1904.21,1698.36,12362.0,3440.0
2002,Fujian,4467.55,664.78,2159.94,1857.29,13497.0,3466.0
2003,Fujian,4983.67,692.94,2492.73,2046.5,14979.0,3488.0
2004,Fujian,5763.35,777.87,2950.33,2324.94,17218.0,3511.0
2005,Fujian,6554.69,841.2,3200.26,2527.47,18645.8416,3557.0
2006,Fujian,7583.85,896.17,3743.71,2974.67,21471.0,3558.0
2007,Fujian,9248.53,1002.11,4549.42,3697.6,25908.0,3581.0
2008,Fujian,10823.01,1157.75,5415.77,4249.59,30123.0,3604.0
2009,Fujian,12236.53,1182.74,6005.3,5048.49,33840.0,3627.0
2010,Fujian,14737.12,1363.67,7522.83,5850.62,40025.0,3693.0
2011,Fujian,17560.18,1612.24,9069.2,6878.74,47377.0,3720.0
2012,Fujian,19701.78,1776.71,10187.94,7737.13,52763.0,3748.0
2013,Fujian,21868.49,1936.31,11315.3,8508.03,58145.0,3774.0
2014,Fujian,24055.76,2014.8,12515.36,9525.6,63472.0,3806.0
2015,Fujian,25979.82,2118.1,13064.82,10796.9,67965.5199,3839.0
2016,Fujian,28810.58,2363.22,14093.47,12353.89,74707.0,3874.0
2017,Fujian,32182.09,2215.13,15354.29,14612.67,82677.0,3911.0
2018,Fujian,35804.04,2379.82,17232.36,16191.86,91197.2491,3941.0
2019,Fujian,42395.0,2596.23,20581.74,19217.03,107139.25,3973.0
2001,Gansu,1125.3728,207.05,481.07,384.39,4163.3574,2575.0
2002,Gansu,1232.0302,214.45,530.36,416.62,4493.0,2593.0
2003,Gansu,1399.83,236.61,607.62,460.37,5021.6324,2603.34
2004,Gansu,1688.49,281.4,758.18,519.35,5970.0,2619.0
2005,Gansu,1933.98,308.06,838.56,787.36,7476.5293,2545.0
2006,Gansu,2276.7,333.35,1043.19,900.16,8757.0,2606.0
2007,Gansu,2702.4,385.97,1279.32,1037.11,10346.0,2617.0
2008,Gansu,3166.82,463.0,1471.43,1241.68,12110.0,2628.12
2009,Gansu,3387.56,497.05,1527.24,1363.27,12872.0,2635.46
2010,Gansu,4120.75,599.28,1984.97,1536.5,16113.0,2559.98
2011,Gansu,5020.37,678.75,2377.83,1963.79,19595.0,2564.19
2012,Gansu,5650.204,780.5,2600.09,2269.61,21978.0,2577.55
2013,Gansu,6330.6923,879.37,2821.04,2567.6,24538.8511,2582.18
2014,Gansu,6836.8208,900.76,2926.4508,3009.613,26432.9157,2590.78
2015,Gansu,6790.3169,954.09,2494.7675,3341.4594,26165.2608,2599.55
2016,Gansu,7200.37,983.39,2515.56,3701.42,27643.0,2610.0
2017,Gansu,7459.8995,859.7523,2561.7919,4038.3554,28496.501,2626.0
2018,Gansu,8246.07,921.3048,2794.67,4530.0952,31336.1252,2637.0
2019,Gansu,8718.3,1050.48,2862.42,4805.4,32994.56,2647.0
2001,Guangdong,12039.2536,1004.35,5341.6086,4301.7521,13729.9286,7783.0
2002,Guangdong,13502.4249,1032.8,5935.63,4801.3,15030.0,7859.0
2003,Guangdong,15844.64,1093.5191,7307.08,5225.267,17213.0699,7954.22
2004,Guangdong,18864.62,1245.42,8890.29,5903.75,19707.0,8304.0
2005,Guangdong,22557.37,1428.27,11339.93,9598.34,24435.0156,9194.0
2006,Guangdong,26587.76,1577.12,13431.82,11195.53,28332.0,9304.0
2007,Guangdong,31777.01,1695.57,15939.1,13449.73,33151.0,9449.0
2008,Guangdong,36796.71,1970.23,18402.64,15323.59,37589.0,9544.0
2009,Guangdong,39482.56,2010.27,19419.7,18052.59,41166.0,9638.0
2010,Guangdong,46013.06,2286.98,23014.53,20711.55,44736.0,10440.9641
2011,Guangdong,53210.28,2665.2,26447.38,24097.7,50807.0,10504.8488
2012,Guangdong,57067.9177,2847.26,27700.97,26519.69,54095.0,10594.0
2013,Guangdong,62474.79,3047.51,29427.49,29688.97,58833.0,10644.0
2014,Guangdong,67809.85,3166.82,31419.75,33223.28,63469.0,10724.0
2015,Guangdong,72812.55,3345.54,32613.54,36853.47,67503.0,10849.0
2016,Guangdong,80854.91,3694.37,35109.66,42050.88,74016.0,10999.0
2017,Guangdong,89705.23,3611.44,38008.06,48085.73,80932.0,11169.0
2018,Guangdong,97277.77,3831.44,40695.15,52751.18,86412.0,11346.0
2019,Guangdong,107671.07,4351.26,43546.43,59773.38,94172.0,11521.0
2001,Guangxi,2279.34,562.52,791.85,876.82,4668.0,4788.0
2002,Guangxi,2523.73,595.68,863.96,995.72,5099.0,4822.0
2003,Guangxi,2821.11,652.28,1007.96,1074.89,5969.0,4857.0
2004,Guangxi,3433.5,811.38,1288.26,1220.46,7196.0,4889.0
2005,Guangxi,3984.1,912.5,1510.68,1652.57,8787.729,4660.0
2006,Guangxi,4746.16,1032.47,1878.56,1917.47,10296.0,4719.0
2007,Guangxi,5823.41,1241.35,2425.29,2289.0,12555.0,4768.0
2008,Guangxi,7021.0,1453.9,3037.74,2679.94,14966.0,4816.0
2009,Guangxi,7759.16,1458.49,3381.54,2919.13,16045.0,4856.0
2010,Guangxi,9569.85,1675.06,4511.68,3383.11,20219.0,4610.0
2011,Guangxi,11720.87,2047.23,5675.32,3998.33,25326.0,4645.0
2012,Guangxi,13035.1015,2172.37,6247.43,4615.3,27952.0,4682.0
2013,Guangxi,14449.904,2343.57,6863.04,5171.39,30741.2063,4719.0
2014,Guangxi,15672.8933,2413.438,7324.964,5934.4913,33089.609,4754.0
2015,Guangxi,16803.12,2565.45,7717.52,6520.15,35190.0,4796.0
2016,Guangxi,18317.64,2796.8,8273.66,7247.18,38027.0,4838.0
2017,Guangxi,18523.26,2878.3,7450.85,8194.11,38102.0,4885.0
2018,Guangxi,20352.51,3019.37,8072.94,9260.2,41489.1652,4926.0
2019,Guangxi,21237.14,3387.74,7077.43,10771.97,42964.0,4960.0
