date,time_weights
2020-04-14,-6.861810443273496e-06
2020-04-15,-6.965955911748503e-06
2020-04-16,-7.143469956422224e-06
2020-04-17,-7.020273933595211e-06
2020-04-18,-6.856694605021482e-06
2020-04-19,-6.97682107577939e-06
2020-04-20,-7.099445667705816e-06
2020-04-21,-6.9365443151533125e-06
2020-04-22,-6.926618376865826e-06
2020-04-23,-6.955861208854894e-06
2020-04-24,-6.967417156943876e-06
2020-04-25,-6.949416644365343e-06
2020-04-26,-6.9322926190710035e-06
2020-04-27,-6.857414455521817e-06
2020-04-28,-6.855951276257258e-06
2020-04-29,-6.832815340413267e-06
2020-04-30,-6.9287390007293134e-06
2020-05-01,-5.020797302200738e-06
2020-05-02,-5.135139069136896e-06
2020-05-03,-4.981795626923526e-06
2020-05-04,-4.756881869513565e-06
2020-05-05,-4.747101893217663e-06
2020-05-06,-4.7186158368669334e-06
2020-05-07,-4.683790300623605e-06
2020-05-08,-4.679154731284787e-06
2020-05-09,-4.69169930333433e-06
2020-05-10,-4.752967433349292e-06
2020-05-11,-4.847564291910379e-06
2020-05-12,-4.8126873334413975e-06
2020-05-13,-4.827131254339912e-06
2020-05-14,-4.826097520820825e-06
2020-05-15,-4.7593594248009526e-06
2020-05-16,-4.723412887931781e-06
2020-05-17,-4.75836974108012e-06
2020-05-18,-4.827131074288349e-06
2020-05-19,-4.7862474068992934e-06
2020-05-20,-4.776227373643153e-06
2020-05-21,-4.758851327630727e-06
2020-05-22,-4.783235429919061e-06
2020-05-23,-4.777715190312362e-06
2020-05-24,-4.743201861755716e-06
2020-05-25,-4.78624667718916e-06
2020-05-26,-4.7224466214892e-06
2020-05-27,-4.685197314873381e-06
2020-05-28,-4.8090870731506e-06
2020-05-29,-4.8307831021814864e-06
2020-05-30,-4.838620490408766e-06
2020-05-31,-4.903047819934395e-06
2020-06-01,0.09479637411084123
2020-06-02,0.09414521734926717
2020-06-03,0.09215173129313113
2020-06-04,0.09167962226235309
2020-06-05,0.09144242256366651
2020-06-06,0.08854646471494845
2020-06-07,0.09090946733665704
2020-06-08,0.08999782251303
2020-06-09,0.08971445909645018
2020-06-10,0.0886484426877058
2020-06-11,0.08823481051233754
