date,time_weights
2022-04-03,-4.1511746338086794e-05
2022-04-04,-4.178119088323263e-05
2022-04-05,-4.258164854641237e-05
2022-04-06,-4.2359928259048124e-05
2022-04-07,-4.159670930824153e-05
2022-04-08,-4.198355613278227e-05
2022-04-09,-4.252881551161763e-05
2022-04-10,-4.234395992989684e-05
2022-04-11,-4.244806365169787e-05
2022-04-12,-4.203748166767021e-05
2022-04-13,-4.180753172454085e-05
2022-04-14,-4.1656509323568735e-05
2022-04-15,-4.2095681057897005e-05
2022-04-16,-4.25491521249852e-05
2022-04-17,-4.24401676806588e-05
2022-04-18,-4.2103665787417216e-05
2022-04-19,-4.214674343471217e-05
2022-04-20,-4.265938712220671e-05
2022-04-21,-4.340393728915444e-05
2022-04-22,-4.357593487092239e-05
2022-04-23,-4.3745728023575936e-05
2022-04-24,-4.3403937101125286e-05
2022-04-25,-4.279502574777497e-05
2022-04-26,-4.303392109204364e-05
2022-04-27,-4.3153070515489415e-05
2022-04-28,-4.256534512559125e-05
2022-04-29,-4.242403430486688e-05
2022-04-30,-4.291616516183127e-05
2022-05-01,0.1692487330801786
2022-05-02,0.16524298006972932
2022-05-03,0.16667892900478104
2022-05-04,0.16934764806654326
2022-05-05,0.16427530143270216
2022-05-06,0.16639618464840866
