,unit_weights
Anhui,7.865570685287015e-11
Beijing,3.464354370443916e-11
Chongqing,0.08265619947203859
Fujian,0.041067733774162264
Guangdong,1.8015761941267054e-10
Guangxi,9.523159867830465e-11
Guizhou,0.03676764283969429
Hebei,4.474113491067214e-11
Heilongjiang,6.066862490673197e-11
Henan,4.513107644388257e-11
Hubei,1.191753753059879e-10
Hunan,0.06649664341834653
Inner Mongolia,5.1088093865885446e-11
Jiangsu,6.711860783584489e-11
Jiangxi,0.022131724827135955
Jilin,8.463162182270667e-11
Liaoning,5.281497764988847e-11
Ningxia,6.406519532187835e-11
Qinghai,3.47185656420983e-11
Shaanxi,6.14064251024535e-11
Shandong,4.4461273881913136e-11
Shanghai,0.07414664837304288
Shanxi,6.512349339096925e-11
Sichuan,0.10413728821843796
Tianjin,6.448386788786387e-11
Yunnan,6.898016713114988e-11
Zhejiang,2.384920897471996e-09
Beijing 1,3.464354370443916e-11
Anyang,4.304940050281086e-11
Beijing 2,3.464354370443916e-11
Beijing 3,3.464354370443916e-11
Chengdu 1,0.10413668558861842
Chongqing 1,0.08265619947203859
Dalian,5.1643539731587475e-11
Dalian 1,5.163823881990985e-11
Fujian 1,0.04106776916820332
Guangan,0.10412699050997534
Guangzhou,1.7958353569507883e-10
Guangzhou 1,1.7958353569507883e-10
Guangzhou 2,1.7958353569507883e-10
Guiyang,0.03676678393404357
Haerbin,5.974294370584498e-11
Haerbin 1,5.974294370584498e-11
Hangzhou,2.3844305797143666e-09
Hangzhou 1,2.3844305797143666e-09
Heilongjiang 1,6.130312920416224e-11
Heilongjiang 2,6.130312920416224e-11
Huhehaote,4.9909885043924916e-11
Huhehaote 1,4.9909885043924916e-11
Hunan 1,0.06649664341834653
Jilin 1,8.463162182270667e-11
Jinan,4.280774198026467e-11
Langfang,4.3284261650655684e-11
Nanchang,0.02213103352530621
Nanjing,6.616687662690834e-11
Nanjing 1,6.616687662690834e-11
Qingdao,4.2960292014297584e-11
Quanzhou,0.041067351515679536
Shanghai 1,0.07414664837304288
Shenzhen,1.795460604578223e-10
Shenzhen 1,1.795460604578223e-10
Shijiazhuang,4.3713581440654586e-11
Shijiazhuang 1,4.3713581440654586e-11
Suzhou,6.663761375678369e-11
Taiyuan,6.387092508977606e-11
Tangshan,4.426293284573572e-11
Tianjin 1,6.448386788786387e-11
Tianjin 2,6.448386788786387e-11
Tianjin 3,6.448386788786387e-11
Wuhan,1.1905668870237253e-10
Wuhan 1,1.1905668870237253e-10
Wulumuqi,4.6609139843971495e-11
Xian,6.05670172260268e-11
Xining,3.5176964551445526e-11
Zhejiang 1,2.384520025097658e-09
Zhengzhou,4.412863680466874e-11
