date,time_weights
2020-01-25,-1.0991455906427298e-19
2020-01-26,-1.1084511088676398e-19
2020-01-27,-1.1108477424577434e-19
2020-01-28,-1.135649718315044e-19
2020-01-29,-1.1336550266239467e-19
2020-01-30,-1.1360176202943302e-19
2020-01-31,-1.1319318535469241e-19
2020-02-01,-8.739960310863651e-20
2020-02-02,-8.721740585986213e-20
2020-02-03,-8.797340133877909e-20
2020-02-04,-8.758051282135651e-20
2020-02-05,-8.749836106213089e-20
2020-02-06,-8.770310760481023e-20
2020-02-07,-8.798979173640754e-20
2020-02-08,-8.831570597683685e-20
2020-02-09,-8.85306577487331e-20
2020-02-10,-8.85306577487331e-20
2020-02-11,-8.902457913726741e-20
2020-02-12,-8.863302833221838e-20
2020-02-13,-8.863302833221838e-20
2020-02-14,-8.850438801995332e-20
2020-02-15,-8.830832238881078e-20
2020-02-16,-8.919802709559256e-20
2020-02-17,-8.795926960900862e-20
2020-02-18,-8.85306577487331e-20
2020-02-19,-8.820076099978794e-20
2020-02-20,-8.670841480022855e-20
2020-02-21,-8.561254022401847e-20
2020-02-22,-8.658903012854069e-20
2020-02-23,-8.708164445053765e-20
2020-02-24,-8.543411779012398e-20
2020-02-25,-8.370326714319916e-20
2020-02-26,-8.296434909396627e-20
2020-02-27,-8.454714641240834e-20
2020-02-28,-8.481585610909086e-20
2020-02-29,-8.244187635758442e-20
2020-03-01,-5.304242496546295e-20
2020-03-02,-5.240634872204512e-20
2020-03-03,-5.147022609344958e-20
2020-03-04,-5.086991177802506e-20
2020-03-05,-5.1633696888944627e-20
2020-03-06,-5.0422077298653704e-20
2020-03-07,-5.0742229882418914e-20
2020-03-08,-5.1644289632653746e-20
2020-03-09,-5.0099289962735665e-20
2020-03-10,-5.0336147584505575e-20
2020-03-11,-5.0515494363168897e-20
2020-03-12,-5.1135056600100766e-20
2020-03-13,-5.036439083743799e-20
2020-03-14,-5.1152735372231156e-20
2020-03-15,-5.060873487166692e-20
2020-03-16,-5.0366465384748543e-20
2020-03-17,-5.0039218013795353e-20
2020-03-18,-5.1704566526403616e-20
2020-03-19,-5.029141377125321e-20
2020-03-20,-4.926761818337058e-20
2020-03-21,-4.9583175554260783e-20
2020-03-22,-5.019975830610561e-20
2020-03-23,-4.953208407954787e-20
2020-03-24,-4.962511680817654e-20
2020-03-25,-4.9669065036465064e-20
2020-03-26,-5.0169289055405675e-20
2020-03-27,-5.0737641960528046e-20
2020-03-28,-5.0453887094221147e-20
2020-03-29,-4.9961558905622564e-20
2020-03-30,-5.0453887094221147e-20
2020-03-31,-4.935279990234087e-20
2020-04-01,0.9999999999999996
