state,Pop,GDP,GDP-1,GDP-2,GDP-3
Guizhou,3798,3912.68,550.27,1476.62,1885.79
Guizhou,3478.9408,4602.16,625.03,1800.06,2177.07
Guizhou,3468.72,5701.84,726.22,2194.33,2781.29
Guizhou,3484.07,6852.2,891.91,2677.54,3282.75
Guizhou,3502.22,8086.86,1029.05,3243.7,3734.04
Guizhou,3508.04,9266.39,1280.45,3857.44,4128.5
Guizhou,3529.5,10502.56,1640.61,4147.83,4714.12
Guizhou,3555,11776.73,1846.19,4669.53,5261.01
Guizhou,3580,13540.8256,2032.2737,5428.1389,6080.42
Guizhou,3600,14806.45,2159.54,5755.54,6891.37
Guizhou,3623,16769.34,2280.56,6058.45,8430.33
Hainan,789,518.48,196.56,102.45,219.47
Hainan,796,558.4137,201.79,111.25,232.92
Hainan,803,621.974,228.95,125.33,249.85
Hainan,810.52,693.2,248.33,151.16,271.44
Hainan,818,798.9,283.84,180.41,305.11
Hainan,828,897.99,300.75,220.07,373.75
Hainan,836,1044.91,344.48,287.86,420.51
Hainan,845,1254.17,361.07,364.26,497.95
Hainan,854,1503.06,437.61,434.4,587.22
Hainan,864.07,1654.21,462.19,443.43,748.59
Hainan,868.5512,2064.5,539.83,571,953.67
Hainan,877.34,2522.66,659.23,714.5,1148.93
Hainan,886.55,2855.54,711.54,804.47,1339.53
Hainan,895.28,3177.56,756.47,871.29,1518.7
Hainan,903.48,3500.72,809.52,875.97,1815.23
Hainan,910.82,3702.76,854.72,875.82,1972.22
Hainan,917,4053.2,948.35,905.95,2198.9
Hainan,926,4462.54,962.84,996.35,2503.35
Hainan,934,4832.05,1000.11,1095.79,2736.15
Hainan,945,5308.93,1080.36,1099.03,3129.54
Hebei,6674,5088.96,824.55,2559.96,1704.45
Hebei,6699,5516.76,913.9,2767.41,1896.47
Hebei,6735,6018.28,957.01,3046,2119.52
Hebei,6769.44,6921.29,1064.33,3657.19,2377.04
Hebei,6809,8477.63,1370.4,4635.23,2763.16
Hebei,6851,10012.11,1503.07,5232.5,3360.54
Hebei,6898,11467.6,1606.48,6115.01,3938.94
Hebei,6943,13607.32,1804.72,7241.8,4662.98
Hebei,6988.82,16011.97,2034.6,8777.42,5376.59
Hebei,7034.4,17235.48,2207.34,8959.83,6068.31
Hebei,7193.6,20394.26,2562.81,10707.68,7123.77
Hebei,7240.51,24515.76,2905.73,13126.86,8483.17
