state,GDP,GDP-1,GDP-2,GDP-3,Pop
Sichuan,6379.63,1394.2583,2689.9955,2471.7596,8725
Sichuan,7385.1,1481.14,3067.23,2836.74,8212
Sichuan,8690.24,1595.48,3775.19,3267.14,8169
Sichuan,10562.39,2032,4641.3,3832,8127
Sichuan,12601.23,2366.15,5790.1,4350,8138
Sichuan,14151.28,2240.61,6711.87,5198.8,8185
Sichuan,17185.48,2482.89,8672.18,6030.41,8044.92
Sichuan,21026.68,2983.51,11029.13,7014.04,8050
Sichuan,23872.8,3297.21,12333.28,8242.31,8076.2
Sichuan,26392.07,3425.61,13579.03,9256.13,8107
Sichuan,28536.66,3531.05,13962.41,11043.2,8140.2
Sichuan,30053.1,3677.3,13248.08,13127.72,8204
Sichuan,32934.54,3929.33,13448.92,15556.29,8262
Sichuan,36980.22,4262.35,14328.13,18389.74,8302
Sichuan,40678.13,4426.66,15322.72,20928.75,8341
Sichuan,46615.82,4807.24,17365.33,24443.25,8375
Tianjin,1639.36,73.54,820.17,745.65,1001
Tianjin,1919.09,78.55,904.64,856.91,1004
Tianjin,2150.76,84,1001.9,965.26,1007
Tianjin,2578.03,89.66,1245.29,1112.71,1011.3
Tianjin,3110.97,102.29,1560.16,1269.43,1024
Tianjin,3905.64,112.38,2051.17,1534.07,1043
Tianjin,4462.74,118.23,2488.29,1752.63,1075
Tianjin,5252.76,110.19,2892.53,2047.68,1115
Tianjin,6719.01,122.58,3821.07,2410.73,1176
Tianjin,7521.85,128.85,3987.84,3405.16,1228.16
Tianjin,9224.46,145.58,4840.23,4238.65,1299.29
Tianjin,11307.28,159.72,5928.32,5219.24,1355
Tianjin,12893.88,171.6,6663.82,6058.46,1413.15
Tianjin,14442.01,188.45,7276.68,6905.03,1472.21
Tianjin,15726.93,199.9,7731.85,7795.18,1516.81
Tianjin,16538.19,208.82,7704.22,8625.15,1546.95
Tianjin,17885.39,220.22,7571.35,10093.82,1562
Tianjin,18549.19,168.96,7593.5931,10786.6369,1557
Tianjin,18809.64,172.71,7609.81,11027.12,1560
Tianjin,14104.28,185.23,4969.18,8949.87,1562
Xinjiang,1364.36,288.18,586.84,489.34,1849
Xinjiang,1491.6,288.12,630.37,566.99,1876
Xinjiang,1612.65,305,672.1,621.18,1905
Xinjiang,1886.35,412.9,796.84,667.87,1933.95
Xinjiang,2209.09,444.7,1010.07,745.38,1963
Xinjiang,2604.19,509.99,1164.79,929.41,2010
Xinjiang,3045.26,527.8,1459.3,1058.16,2050
Xinjiang,3523.16,628.72,1647.55,1246.89,2095
Xinjiang,4183.21,691.1,2086.74,1425.57,2130.8
Xinjiang,4277.05,759.74,1929.59,1587.72,2158.63
Xinjiang,5437.47,1078.63,2592.15,1766.69,2185.11
Xinjiang,6610.05,1139.03,3225.9,2245.12,2208.71
Xinjiang,7505.31,1320.57,3481.56,2703.18,2232.78
Xinjiang,8443.84,1468.29,3765.97,3125.98,2264.3
Xinjiang,9273.46,1538.6,3948.96,3785.9,2298.47
Xinjiang,9324.8,1559.08,3596.4,4169.32,2359.73
Xinjiang,9649.7,1648.97,3647.01,4353.72,2398
Xinjiang,10881.96,1551.84,4330.89,4999.23,2445
Xinjiang,12199.08,1692.09,4922.97,5584.02,2487
Xinjiang,13597.11,1781.75,4795.5,7019.86,2523
Yunnan,1955.09,436.26,843.24,675.59,4241
Yunnan,2138.31,450.54,881.49,742.68,4287
Yunnan,2312.82,470.5,951.48,810.34,4333
Yunnan,2556.02,502.84,1069.29,893.16,4375.6
Yunnan,3081.91,604.33,1314.19,1040.96,4415
Yunnan,3461.73,669.81,1432.76,1370.32,4450
Yunnan,3988.14,749.81,1712.6,1544.31,4483
Yunnan,4772.52,837.35,2051.08,1852.88,4514
Yunnan,5692.12,1020.94,2451.09,2228.07,4543
Yunnan,6169.75,1067.6,2582.53,2519.62,4571
Yunnan,7224.18,1108.38,3223.49,2892.31,4601.6
Yunnan,8893.12,1411.01,3780.32,3701.79,4630.8
Yunnan,10309.47,1654.55,4419.2,4235.72,4659
Yunnan,11832.31,1895.34,4927.82,4897.75,4686.6
Yunnan,12814.59,1990.07,5281.82,5542.7,4713.9
Yunnan,13619.17,2055.78,5416.12,6147.27,4741.8
Yunnan,14788.42,2195.11,5690.16,6903.15,4771
Yunnan,16376.34,2338.37,6204.97,7833,4800.5
Yunnan,17881.12,2498.86,6957.44,8424.82,4830
Yunnan,23223.75,3037.62,7961.58,12224.55,4858
Zhejiang,6036.34,664.16,3183.47,2188.71,4596
Zhejiang,6898.3388,695.15,3459.75,2593.25,4613
Zhejiang,8003.67,694,3982,3120,4647
Zhejiang,9705.02,728,4941,3726,4679.55
Zhejiang,11648.7,816,6045,4382,4720
Zhejiang,13417.68,892.83,7166.15,5378.87,4991
Zhejiang,15718.47,925.1,8509.57,6307.85,4980
Zhejiang,18753.73,986.02,10148.45,7645.96,5060
Zhejiang,21462.69,1095.43,11580.33,8811.17,5120
Zhejiang,22990.35,1163.08,11908.49,9918.78,5180
Zhejiang,27722.31,1360.56,14297.93,12063.82,5446.51
Zhejiang,32318.85,1583.04,16555.58,14180.23,5463
Zhejiang,34665.33,1667.88,17316.32,15681.13,5477
Zhejiang,37756.58,1784.62,18446.65,17337.22,5498
Zhejiang,40173.03,1777.18,19175.06,19220.79,5508
Zhejiang,42886.49,1832.91,19711.67,21341.91,5539
Zhejiang,47251.36,1965.18,21194.61,24091.57,5590
Zhejiang,51768.26,1933.92,22232.08,27602.26,5657
Zhejiang,56197.15,1967.01,23505.88,30724.26,5737
Zhejiang,62351.74,2097.38,26566.6,33687.76,5850
Chongqing,1589.34,283,657.51,648.83,3092
Chongqing,1765.68,293.03,727.66,729.08,3097
Chongqing,1990.01,315.78,827.55,827.97,3107
Chongqing,2272.82,336.36,977.3,936.9,3130
Chongqing,2692.81,431.32,1181.24,1052.83,3122
Chongqing,3467.72,463.4,1259.12,1347.97,2798
Chongqing,3907.23,425.81,1500.97,1564.79,2808
Chongqing,4676.13,482.39,1892.1,1748.02,2816
Chongqing,5793.66,575.4,2433.27,2087.99,2839
Chongqing,6530.01,606.8,3448.77,2474.44,2859
Chongqing,7925.58,685.38,4359.12,2881.08,2884.62
Chongqing,10011.37,844.52,5543.04,3623.81,2919
Chongqing,11409.6,940.01,5975.18,4494.41,2945
Chongqing,12783.26,1016.74,6397.92,5242.03,2970
Chongqing,14262.6,1061.03,6529.06,6672.51,2991.4
Chongqing,15717.27,1150.15,7069.37,7497.75,3016.55
Chongqing,17740.59,1303.24,7898.92,8538.43,3048
Chongqing,19424.73,1276.09,8584.61,9564.03,3075.16
Chongqing,20363.19,1378.2747,8328.79,10656.1253,3102
Chongqing,23605.77,1551.42,9496.84,12557.51,3124
