state,GDP,GDP-1,GDP-2,GDP-3,Pop
Beijing,28014.94,120.42,5326.76,22567.76,2170.7
Beijing,30319.98,118.69,5647.65,24553.64,2154
Beijing,35371.28,113.69,5715.06,29542.53,2154
Fujian,3920.07,640.57,1711.16,1568.34,3410
Fujian,4072.85,651.11,1904.21,1698.36,3440
Fujian,4467.55,664.78,2159.94,1857.29,3466
Fujian,4983.67,692.94,2492.73,2046.5,3488
Fujian,5763.35,777.87,2950.33,2324.94,3511
Fujian,6554.69,841.2,3200.26,2527.47,3557
Fujian,7583.85,896.17,3743.71,2974.67,3558
Fujian,9248.53,1002.11,4549.42,3697.6,3581
Fujian,10823.01,1157.75,5415.77,4249.59,3604
Fujian,12236.53,1182.74,6005.3,5048.49,3627
Fujian,14737.12,1363.67,7522.83,5850.62,3693
Fujian,17560.18,1612.24,9069.2,6878.74,3720
Fujian,19701.78,1776.71,10187.94,7737.13,3748
Fujian,21868.49,1936.31,11315.3,8508.03,3774
Fujian,24055.76,2014.8,12515.36,9525.6,3806
Fujian,25979.82,2118.1,13064.82,10796.9,3839
Fujian,28810.58,2363.22,14093.47,12353.89,3874
Fujian,32182.09,2215.13,15354.29,14612.67,3911
Fujian,35804.04,2379.82,17232.36,16191.86,3941
Fujian,42395,2596.23,20581.74,19217.03,3973
Gansu,983.36,193.36,439.88,350.12,2557
Gansu,1125.3728,207.05,481.07,384.39,2575
Gansu,1232.0302,214.45,530.36,416.62,2593
Gansu,1399.83,236.61,607.62,460.37,2603.34
Gansu,1688.49,281.4,758.18,519.35,2619
Gansu,1933.98,308.06,838.56,787.36,2545
Gansu,2276.7,333.35,1043.19,900.16,2606
Gansu,2702.4,385.97,1279.32,1037.11,2617
Gansu,3166.82,463,1471.43,1241.68,2628.12
Gansu,3387.56,497.05,1527.24,1363.27,2635.46
Gansu,4120.75,599.28,1984.97,1536.5,2559.98
Gansu,5020.37,678.75,2377.83,1963.79,2564.19
Gansu,5650.204,780.5,2600.09,2269.61,2577.55
Gansu,6330.6923,879.37,2821.04,2567.6,2582.18
Gansu,6836.8208,900.76,2926.4508,3009.613,2590.78
Gansu,6790.3169,954.09,2494.7675,3341.4594,2599.55
Gansu,7200.37,983.39,2515.56,3701.42,2610
Gansu,7459.8995,859.7523,2561.7919,4038.3554,2626
Gansu,8246.07,921.3048,2794.67,4530.0952,2637
Gansu,8718.3,1050.48,2862.42,4805.4,2647
Guangdong,9662.23,1000.06,4868.75,3793.42,7707
Guangdong,12039.2536,1004.35,5341.6086,4301.7521,7783
Guangdong,13502.4249,1032.8,5935.63,4801.3,7859
Guangdong,15844.64,1093.5191,7307.08,5225.267,7954.22
Guangdong,18864.62,1245.42,8890.29,5903.75,8304
Guangdong,22557.37,1428.27,11339.93,9598.34,9194
Guangdong,26587.76,1577.12,13431.82,11195.53,9304
Guangdong,31777.01,1695.57,15939.1,13449.73,9449
Guangdong,36796.71,1970.23,18402.64,15323.59,9544
Guangdong,39482.56,2010.27,19419.7,18052.59,9638
Guangdong,46013.06,2286.98,23014.53,20711.55,10440.9641
Guangdong,53210.28,2665.2,26447.38,24097.7,10504.8488
Guangdong,57067.9177,2847.26,27700.97,26519.69,10594
Guangdong,62474.79,3047.51,29427.49,29688.97,10644
Guangdong,67809.85,3166.82,31419.75,33223.28,10724
Guangdong,72812.55,3345.54,32613.54,36853.47,10849
Guangdong,80854.91,3694.37,35109.66,42050.88,10999
Guangdong,89705.23,3611.44,38008.06,48085.73,11169
Guangdong,97277.77,3831.44,40695.15,52751.18,11346
Guangdong,107671.07,4351.26,43546.43,59773.38,11521
Guangxi,2050.14,538.69,748,763.45,4750
Guangxi,2279.34,562.52,791.85,876.82,4788
Guangxi,2523.73,595.68,863.96,995.72,4822
Guangxi,2821.11,652.28,1007.96,1074.89,4857
Guangxi,3433.5,811.38,1288.26,1220.46,4889
Guangxi,3984.1,912.5,1510.68,1652.57,4660
Guangxi,4746.16,1032.47,1878.56,1917.47,4719
Guangxi,5823.41,1241.35,2425.29,2289,4768
Guangxi,7021,1453.9,3037.74,2679.94,4816
Guangxi,7759.16,1458.49,3381.54,2919.13,4856
Guangxi,9569.85,1675.06,4511.68,3383.11,4610
Guangxi,11720.87,2047.23,5675.32,3998.33,4645
Guangxi,13035.1015,2172.37,6247.43,4615.3,4682
Guangxi,14449.904,2343.57,6863.04,5171.39,4719
Guangxi,15672.8933,2413.438,7324.964,5934.4913,4754
Guangxi,16803.12,2565.45,7717.52,6520.15,4796
Guangxi,18317.64,2796.8,8273.66,7247.18,4838
Guangxi,18523.26,2878.3,7450.85,8194.11,4885
Guangxi,20352.51,3019.37,8072.94,9260.2,4926
Guangxi,21237.14,3387.74,7077.43,10771.97,4960
Guizhou,993.53,270.99,387.85,334.69,3756
Guizhou,1133.27,274.17,419.74,390.99,3799
Guizhou,1243.43,280.83,474.68,429.53,3837
Guizhou,1426.34,298.37,579.31,478.43,3869.66
Guizhou,1677.8,334.11,714.66,543.13,3904
Guizhou,2005.42,368.94,826.63,783.49,3730
Guizhou,2338.98,393.17,980.78,908.05,3757.18
Guizhou,2884.11,446.38,1148.27,1147.25,3762
Guizhou,3561.56,547.85,1408.71,1376.84,3792.73
Guizhou,3912.68,550.27,1476.62,1885.79,3798
Guizhou,4602.16,625.03,1800.06,2177.07,3478.9408
Guizhou,5701.84,726.22,2194.33,2781.29,3468.72
Guizhou,6852.2,891.91,2677.54,3282.75,3484.07
Guizhou,8086.86,1029.05,3243.7,3734.04,3502.22
Guizhou,9266.39,1280.45,3857.44,4128.5,3508.04
Guizhou,10502.56,1640.61,4147.83,4714.12,3529.5
Guizhou,11776.73,1846.19,4669.53,5261.01,3555
Guizhou,13540.8256,2032.2737,5428.1389,6080.42,3580
Guizhou,14806.45,2159.54,5755.54,6891.37,3600
Guizhou,16769.34,2280.56,6058.45,8430.33,3623
Hainan,518.48,196.56,102.45,219.47,789
Hainan,558.4137,201.79,111.25,232.92,796
Hainan,621.974,228.95,125.33,249.85,803
Hainan,693.2,248.33,151.16,271.44,810.52
Hainan,798.9,283.84,180.41,305.11,818
Hainan,897.99,300.75,220.07,373.75,828
Hainan,1044.91,344.48,287.86,420.51,836
Hainan,1254.17,361.07,364.26,497.95,845
Hainan,1503.06,437.61,434.4,587.22,854
Hainan,1654.21,462.19,443.43,748.59,864.07
Hainan,2064.5,539.83,571,953.67,868.5512
Hainan,2522.66,659.23,714.5,1148.93,877.34
Hainan,2855.54,711.54,804.47,1339.53,886.55
Hainan,3177.56,756.47,871.29,1518.7,895.28
Hainan,3500.72,809.52,875.97,1815.23,903.48
Hainan,3702.76,854.72,875.82,1972.22,910.82
Hainan,4053.2,948.35,905.95,2198.9,917
Hainan,4462.54,962.84,996.35,2503.35,926
Hainan,4832.05,1000.11,1095.79,2736.15,934
Hainan,5308.93,1080.36,1099.03,3129.54,945
Hebei,5088.96,824.55,2559.96,1704.45,6674
Hebei,5516.76,913.9,2767.41,1896.47,6699
Hebei,6018.28,957.01,3046,2119.52,6735
Hebei,6921.29,1064.33,3657.19,2377.04,6769.44
Hebei,8477.63,1370.4,4635.23,2763.16,6809
Hebei,10012.11,1503.07,5232.5,3360.54,6851
