state,electri_consump,coal_consump,gas_consump,oil_consump
Guangxi,1237.74,7344.11,4.55,1296.13
Guangxi,1307.99,6796.51,8.25,1390.47
Guangxi,1334,6094.82,8.37,1428.77
Guangxi,1359.65,6403.86,15.37,1340.43
Guangxi,1444.95,6617.64,16.76,1563.03
Guangxi,1703.04,7339.78,22.68,1599.33
Guangxi,1907.33,8021.91,27.86,1637.82
Guizhou,287.78,5146.3,5.72,
Guizhou,449.05,4946,6,
Guizhou,491.67,5199,5.48,
Guizhou,551.07,6793.62,5.45,
Guizhou,583.26,7993.74,4.99,
Guizhou,486.97,8651.44,5.44,
Guizhou,619.59,9938.99,4.95,
Guizhou,714.09,10630.35,5.14,
Guizhou,679.18,9732,4.74,
Guizhou,750.3,10912,4.18,
Guizhou,835.38,10908.1,4.14,
Guizhou,944,12085,4.76,
Guizhou,1046.72,13328,5.26,
Guizhou,1126.27,13650.74,8.42,
Guizhou,1173.74,13117.6,10.62,
Guizhou,1174,12956.77,13.32,
Guizhou,1241.78,13678.92,17.11,
Guizhou,1384.89,13634.1,17.73,
Guizhou,1482.12,12008.04,30.82,
Guizhou,1540.68,12204.17,36.76,
Hainan,38.37,191.63,5.28,14.69
Hainan,44.86,,6.56,13.49
Hainan,49,0,,
Hainan,59.3,607.21,24.08,31.6
Hainan,68.66,477.34,23.89,13.87
Hainan,81.61,341.6,20.97,11.46
Hainan,97.66,332.23,23.97,230.1
Hainan,113.25,414.08,23.4,816.28
Hainan,122.97,472,26.78,796.83
Hainan,133.76,537,24.94,835.68
Hainan,159.02,647.2,29.72,859.17
Hainan,185,815,48.86,915.19
Hainan,210.31,931,47.49,930.81
Hainan,232.02,1008.78,46.02,737.65
Hainan,251.88,1018.3,46,942.52
Hainan,272,1071.92,45.65,1116.11
Hainan,287.31,1015.31,40.85,1118.66
Hainan,304.95,1099.34,42.98,979.99
Hainan,326.82,1162.67,44.27,1060.85
Hainan,354.89,1130.39,46.15,1138.16
Hebei,809.34,12115.08,7.72,747.37
Hebei,869.55,12641,6.97,670.55
Hebei,965.08,13739,7.74,697.59
Hebei,1098.99,14851.4,8.28,835.19
Hebei,1291.41,17073.96,9.73,939.39
Hebei,1501.92,20542.39,9.14,1003.29
Hebei,1734.83,21345.42,2.81,1046.69
Hebei,2013.68,24548.51,12.05,1124.77
Hebei,2095.02,24419,17.17,1357.63
Hebei,2344.18,26516,23.11,1379.12
Hebei,2691.52,27464.72,29.47,1396.65
Hebei,2985,30792,35.09,1564.68
Hebei,3077.82,31359,45.13,1547.61
Hebei,3251.19,31663.27,49.86,1385.89
Hebei,3314.11,29635.54,56.08,1356.61
Hebei,3176,31700.5,72.97,1666.82
Hebei,3264.52,30863.5,80.95,1761.93
Hebei,3441.74,30174.5,95.12,1542.17
Hebei,3665.66,29593.75,133.07,1704.43
Hebei,3856.06,28738.44,165.48,2177.54
Henan,718.52,8724.85,11.23,610.58
Henan,808.41,9325,13.11,598.2
Henan,927.56,10333,14.63,601.64
Henan,1054.64,11419.97,16.77,37.12
Henan,1299.63,14937.64,20.29,704.54
Henan,1352.74,18467.89,23.71,668.82
Henan,1534.21,21002.82,30.53,696.57
Henan,1864.14,23171,33.14,713.83
Henan,2092.63,23868,38.23,704.22
Henan,2275.19,24445,41.5,785.82
Henan,2353.96,26050,47.15,835.07
Henan,2823,28374,54.96,874.63
Henan,2926.2,25240,73.92,1010.02
Henan,2899.18,25058.14,79.77,963.57
Henan,2919.57,24249.88,76.87,845.17
Henan,2880,24253.68,87.14,847.26
Henan,2989.15,23662.33,90.38,707.28
Henan,3166.17,22976.12,100.17,658.44
Henan,3417.68,22332.79,106.31,828.75
Henan,3364.17,20045.45,109.34,799.61
Heilongjiang,442.28,5815.15,23.04,1601.27
Heilongjiang,468.13,5537,22.03,1615.5
Heilongjiang,463.02,5543,20.22,1586.16
Heilongjiang,503.63,6490.46,20.96,1619.14
Heilongjiang,541.65,7347.39,20.34,1616.07
Heilongjiang,555.85,8559.73,24.43,1785.01
Heilongjiang,596.86,9025.04,24.53,1850.06
Heilongjiang,642.94,9852.64,30.7,1886.02
Heilongjiang,697.1,11204,31.47,1735.97
Heilongjiang,688.66,11050,30,2065.13
Heilongjiang,747.84,12219.13,29.9,2106.53
Heilongjiang,817,13200,31,2200.93
Heilongjiang,827.9,13965,33.68,2166.48
Heilongjiang,845.2,13266.81,34.77,2127.02
Heilongjiang,859.42,13595.53,35.48,2141.97
Heilongjiang,869,12465.43,35.82,2123.9
Heilongjiang,896.62,12741.39,38.04,2210.42
Heilongjiang,928.57,12891.15,40.56,1905.4
Heilongjiang,973.88,13370.83,43.84,1552.63
Heilongjiang,995.63,14142.64,44.37,1534.76
Hubei,503.02,6050.62,0.91,669.77
Hubei,526.03,6096,0.76,570.06
Hubei,567.43,6483,0.91,595.43
Hubei,629.2,7238.46,0.94,637.14
Hubei,699.41,8053.71,0.94,754.01
Hubei,788.91,8652.64,6.11,822.13
Hubei,894.76,9651.64,6.64,851.1
Hubei,1009.23,10534.62,8.63,910
Hubei,1076.24,10196,15.6,884.26
Hubei,1183.04,11100,16.52,946.6
Hubei,1330.44,13470.06,19.56,1033.86
Hubei,1573,15805,24.92,1026.23
Hubei,1642.74,15799,29.28,947.74
Hubei,1629.75,12166.72,31.97,1176.72
Hubei,1656.54,11887.83,40.24,1290.87
Hubei,1665,11035.08,40.26,1299.01
Hubei,1763.11,10739.77,41.5,1239.61
Hubei,1869,10721.23,52.5,1428.91
Hubei,2071.43,11100.11,62.7,1420.68
Hubei,2214.3,11768.33,68.46,1516.49
Hunan,406.12,3335.36,,541.05
Hunan,439.68,4100,,440.43
Hunan,476,4287,,470.92
Hunan,546.95,4984.25,,507.82
Hunan,662.61,6039.79,0.06,615.79
Hunan,674.43,8739.29,1,660.86
Hunan,768.78,9438.51,4.25,574.49
Hunan,890.58,10277.39,5.84,671.67
Hunan,1128.54,10169,8.23,614.11
Hunan,1232.19,10751,10.23,565.77
Hunan,1171.91,11323.33,11.25,587.6
Hunan,1545,13006,15.34,766.03
Hunan,1582.34,12084,18.79,926
Hunan,1423.09,11223.84,20.46,946.54
Hunan,1430.88,10899.51,24.4,801.03
Hunan,1448,10228.9,26.53,878.46
Hunan,1495.65,10768.56,26.86,841.6
Hunan,1581.51,11018.5,27.07,770.13
Hunan,1745.24,10922.31,30.47,949.7
Hunan,1864.32,10664.02,32.9,935.12
Jilin,291.37,4212.7,2.98,702.63
Jilin,323.36,4484,3.02,709.33
Jilin,344.54,4664,3.02,731.42
Jilin,359.4,5202.06,3.08,885.24
Jilin,383.06,5715.02,4,833.01
Jilin,378.23,6802.48,6.18,968.36
Jilin,412.45,7548.83,6,954.94
Jilin,462.64,7846.56,6.47,986.08
Jilin,496.49,8367,13.83,915.24
Jilin,515.25,8589,16.66,851.89
Jilin,576.98,9582.66,22.01,939.97
Jilin,631,11035,19.38,1064.58
Jilin,787.05,11083,22.79,977.05
Jilin,653.85,10413.74,24.05,1002.13
Jilin,667.81,10379.34,22.58,999.37
Jilin,652,8632.01,20.65,960.34
Jilin,667.63,8349.29,23,1051.29
Jilin,702.98,8270.55,24.91,1027.9
Jilin,750.57,8553.18,29.71,935.8
Jilin,780.37,8730.65,30.17,1035.48
Jiangsu,971.34,8769.8,0.24,1376.65
Jiangsu,1078.44,8963,0.23,1317.61
Jiangsu,1244.6,9663,1.01,1407.68
Jiangsu,1505.13,10848.82,0.62,1714.54
Jiangsu,1820.08,13272.08,3.14,1875.39
Jiangsu,2193.45,16778.57,13.62,2264.76
Jiangsu,2569.75,18427.68,31.3,2302.7
Jiangsu,2952.02,19951.8,44.58,2454
Jiangsu,3118.33,20737,63.13,2313.13
Jiangsu,3313.98,21003,63.43,2661.44
Jiangsu,3864.37,23100.48,71.57,2998.55
Jiangsu,4282,27364,93.74,2981.07
Jiangsu,4580.91,27762,113.14,2947.99
Jiangsu,4956.62,27946.07,124.47,3394.78
Jiangsu,5012.54,26912.61,127.7,3511.4
Jiangsu,5115,27209.12,165.02,3823.2
Jiangsu,5458.95,28048.13,172.73,4092.04
Jiangsu,5807.89,26620.03,237.69,3866.06
Jiangsu,6128.27,25407.28,276.21,4067.87
Jiangsu,6264.36,24902.05,288.06,4121.21
Jiangxi,208.15,2468.63,,331.18
Jiangxi,222.29,2584,,299.57
Jiangxi,246.56,2557,,297.27
Jiangxi,299.53,3088.6,0,314.07
Jiangxi,389.2,3943.91,0,363.41
Jiangxi,391.98,4242.9,0.11,368.02
Jiangxi,453.28,4592.26,0.68,417.99
Jiangxi,516.09,5169.99,1.04,396.47
Jiangxi,546.77,5267,2.5,411
Jiangxi,609.22,5356,2.58,451.68
Jiangxi,700.51,6246.24,3.85,469.92
Jiangxi,835,6988,6.34,432.77
Jiangxi,867.67,6802,10.04,508.22
Jiangxi,947.11,7254.69,13.43,520.28
Jiangxi,1018.52,7477.31,15.19,472.24
Jiangxi,1087,7658.74,18.02,555.96
Jiangxi,1182.5,7533.19,20.04,725.75
Jiangxi,1293.98,7671.45,21.73,699.38
Jiangxi,1428.77,7877.77,25.93,768
Jiangxi,1535.7,7995.94,26.96,787.96
Liaoning,748.89,9582.18,20.15,3938.74
Liaoning,809.42,9084,18.93,4046.3
Liaoning,859.2,9355,18.81,4218.81
Liaoning,886.88,10453.84,18.82,4560.41
Liaoning,1058.1,11944.98,15.81,5216.67
Liaoning,1110.56,13069.67,14.81,5410.89
Liaoning,1228.28,14211.31,13.1,5555.04
Liaoning,1359.51,15224.32,14.24,5893.46
Liaoning,1411.99,15347,16.21,5945.19
Liaoning,1488.17,16033,16.44,5873.05
Liaoning,1715.26,16908.43,19.02,6558.91
Liaoning,1862,18054,39.07,6705.53
Liaoning,1899.88,18219,63.72,7000.91
Liaoning,2008.46,18132.77,78.68,6480.07
Liaoning,2038.73,18002.27,84,6364.79
Liaoning,1985,17028.08,55.35,6439.87
Liaoning,2037.4,16943.7,50.63,7057
Liaoning,2135.5,17587.17,62.05,7133.87
Liaoning,2302.38,17904.4,73.16,8202.5
Liaoning,2401.47,18710.78,75.01,9894.5
Inner Mongolia,254.21,5907.99,0.01,126.26
Inner Mongolia,279.68,6265,0.14,133.07
Inner Mongolia,320.44,6864,0.22,126.05
Inner Mongolia,406.62,9024.63,2.04,128.83
Inner Mongolia,535.58,11391.44,4.42,132.19
Inner Mongolia,667.72,13921.81,6.35,131.83
Inner Mongolia,884.91,16188.88,14.38,139.2
Inner Mongolia,1160.21,18531.51,26.51,142.82
Inner Mongolia,1220.57,22242,30.53,189.25
Inner Mongolia,1287.93,24047,44.29,191.76
Inner Mongolia,1536.83,27004.04,45.3,140.74
Inner Mongolia,1834,34684,40.84,118.66
Inner Mongolia,2016.78,36620,37.84,87.02
Inner Mongolia,2181.9,34915.72,43.51,411.07
Inner Mongolia,2416.74,36465.97,44.53,411.36
Inner Mongolia,2543,36283.33,39.15,383.67
Inner Mongolia,2605.03,36460.55,45.06,419.55
Inner Mongolia,2891.87,38372.19,52.04,452.25
Inner Mongolia,3353.44,44138.47,61.97,362.35
Inner Mongolia,3653.02,49035.95,64.18,428.71
Ningxia,136.17,1041.89,0.12,92.62
Ningxia,151.81,,,
Ningxia,178.76,0,,
Ningxia,212,2965.1,10.1,200.4
Ningxia,272.83,2761.19,6.77,159.1
Ningxia,302.88,3248.93,6.63,167.05
Ningxia,377.85,3489.61,7.94,174.42
Ningxia,439.78,4135,8.99,156.78
Ningxia,439.62,4287,11,183.75
Ningxia,470.32,4781,11.98,182.65
Ningxia,546.77,5764.92,15.48,175.77
Ningxia,725,7947,18.58,91.71
Ningxia,741.8,8055,20.48,424.12
Ningxia,811.18,8533.51,19.57,463.31
Ningxia,848.75,8857,17.88,426.15
Ningxia,878,8928.41,20.05,477.12
Ningxia,886.91,8680.01,22.4,576.35
Ningxia,978.3,11046.2,19.99,591.37
Ningxia,1064.85,12711.22,20.96,448.7
Ningxia,1083.9,13724.01,25.35,459.61
Qinghai,109.1,522.2,3.91,62.17
Qinghai,111.81,642,5.85,65.4
Qinghai,132.67,620,11.27,62.43
Qinghai,158.51,675.43,15.15,66.73
Qinghai,199.64,680.05,17.91,83.41
Qinghai,206.56,698.97,22.11,95.02
Qinghai,246.04,912.39,22.78,106.11
Qinghai,287.11,1058.19,20.25,110.15
Qinghai,313.23,1316,22.9,109.2
Qinghai,337.24,1310,24.56,82.03
Qinghai,465.18,1270.68,23.72,127.98
Qinghai,561,1508,32.05,156.25
Qinghai,602.22,1859,40.11,145.44
Qinghai,676.29,2073.15,41.56,146.19
Qinghai,723.21,1816.51,40.59,143.34
Qinghai,658,1508.12,44.38,154.33
Qinghai,637.51,1962.4,46.25,149.45
Qinghai,687.01,1747.01,49.56,152.53
Qinghai,738.34,1639.64,51.25,142.51
Qinghai,716.47,1541.92,52.12,156.45
Shandong,1000.71,8698.35,4.53,1771.22
Shandong,1560.2,11098,4.93,1777.97
Shandong,1230.02,12938,4.63,1628.23
Shandong,1395.72,15165.68,9.61,2213.73
Shandong,1693.71,18270.08,11.71,3196.39
Shandong,1911.61,25247.91,17.89,3300.36
Shandong,2312.04,29001.25,22.59,3878.27
Shandong,2596.05,31702.78,23.33,4075.67
Shandong,2726.98,34390,34.5,4626.97
Shandong,2941.07,34795,40.24,5142.9
Shandong,3298.46,37327.89,47.01,5593.4
